Phylum,ocean_metaphlan,ocean_kraken,ocean_kaiju,ocean_kaiju_euk,ocean_gottcha,nt_rpm,nr_rpm,pam_rel_abd
Rotifera,,,,,,2.1354500395846964e-05,4.00070027824235e-05,8.622361731897378e-05
Streptophyta,,,,,,0.0002681950927266168,0.00011113056328450972,0.22741189027625122
Tardigrada,,,,,,0.0,6.014124601279349e-06,7.490359963046056e-06
Thermodesulfobacteriota,,,,,,0.0004672713331515738,0.0038976757089856516,0.002097920293108486
Thermomicrobiota,,,,,,0.0028947986414157934,0.0,5.9134420760889916e-06
Thermoproteota,,,,,,8.71612261054978e-08,8.71612261054978e-08,0.0005691547201995748
Uroviricota,,,,,,0.002809119156154089,0.0020007859452517026,
SAR,,,,,,,,0.0303967818259763
Saccharibacteria,,,,,,,,0.013710568886644159
Chordata,,,,,,,,0.01135228818669987
Gastrotricha,,,,,,,,0.005068777273639633
Amoebozoa,,,,,,,,0.004858202417234902
Xenacoelomorpha,,,,,,,,0.003354329619541527
Archaeplastida,,,,,,,,0.0012214918589361346
Candidatus Collierbacteria,,,,,,,,0.000943785355343803
Bathyarchaeota,,,,,,,,0.0009335917075745449
Choanoflagellida,,,,,,,,0.0008227569075198483
Metazoa (Animalia),,,,,,,,0.0006687258210617208
Microgenomates,,,,,,,,0.000583403299678151
Lokiarchaeota,,,,,,,,0.0005149200085874442
Priapulida,,,,,,,,0.0004680067014504716
Methanobacteriota,,,,,,,,0.0004605726599833883
Centrohelida,,,,,,,,0.0002993891245379912
Chlorobiota,,,,,,,,0.00023738246048300094
Discicristoidea,,,,,,,,0.00022803359015318407
Excavata,,,,,,,,0.00020995535294914057
Spirochaetae,,,,,,,,0.00019914220172429214
Chlamydiota,,,,,,,,0.0001956504549746015
Woesearchaeota (DHVEG-6),,,,,,,,0.00015476322690564332
Parcubacteria,,,,,,,,0.00013437593136712698
DH147-EKD10,,,,,,,,0.0001299830886820323
LKM15,,,,,,,,9.320711081835505e-05
Dinoflagellata,,,,,,,,8.537883987953248e-05
Lentisphaerota,,,,,,,,7.022916446555212e-05
Gracilibacteria,,,,,,,,6.003551669629395e-05
Phoronida,,,,,,,,4.477320429038808e-05
Omnitrophica,,,,,,,,3.992981363759138e-05
Candidatus Hydrogenedentota,,,,,,,,3.9760858149703125e-05
WWE3,,,,,,,,3.8071303270820554e-05
Sva0485,,,,,,,,3.773339229504404e-05
SR1 (Absconditabacteria),,,,,,,,3.677597786367725e-05
Aminicenantes,,,,,,,,3.54243339605712e-05
Porifera,,,,,,,,2.9060343916780186e-05
Candidatus Latescibacterota,,,,,,,,2.8102929485413397e-05
Balneolota,,,,,,,,2.725815204597211e-05
NB1-j,,,,,,,,2.7145515054046608e-05
WS6,,,,,,,,2.6920241070195598e-05
GAL15,,,,,,,,2.624441911864257e-05
Marine Benthic Group E,,,,,,,,2.5681234159015047e-05
Acanthocephala,,,,,,,,2.5118049199387524e-05
Peregrinibacteria,,,,,,,,2.3090583344728443e-05
WSA2,,,,,,,,2.1682620945659633e-05
Filasterea,,,,,,,,1.8021918708080737e-05
Ichthyosporea,,,,,,,,1.6332363829198166e-05
Bryozoa,,,,,,,,1.5994452853421652e-05
Cryptophyceae,,,,,,,,1.4980719926092112e-05
Palpitomonas,,,,,,,,1.4642808950315598e-05
Nemertea,,,,,,,,1.2953254071433029e-05
SBR1093,,,,,,,,1.2390069111805505e-05
TM6 (Dependentiae),,,,,,,,1.1151062200624954e-05
SAR324 clade(Marine group B),,,,,,,,1.0193647769258166e-05
Candidatus Omnitrophota,,,,,,,,1.0137329273295414e-05
Aerophobetes,,,,,,,,9.968373785407157e-06
Hadesarchaea,,,,,,,,9.855736793481652e-06
Aigarchaeota,,,,,,,,9.7994182975189e-06
Latescibacteria,,,,,,,,9.236233337891377e-06
Ignavibacteriota,,,,,,,,9.010959354040368e-06
Marinimicrobia (SAR406 clade),,,,,,,,8.166181914599083e-06
Marine Hydrothermal Vent Group(MHVG),,,,,,,,8.05354492267358e-06
Acetothermia,,,,,,,,8.05354492267358e-06
KSB3 (Modulibacteria),,,,,,,,7.997226426710826e-06
RBG-1 (Zixibacteria),,,,,,,,7.884589434785321e-06
Diapherotrites,,,,,,,,7.659315450934313e-06
Atribacteria,,,,,,,,6.026079068014496e-06
Nanobdellota,,,,,,,,5.293938620498716e-06
RCP2-54,,,,,,,,5.181301628573211e-06
Marine Hydrothermal Vent Group 1(MHVG-1),,,,,,,,5.068664636647707e-06
Cloacimonetes,,,,,,,,4.787072156833945e-06
Echinodermata,,,,,,,,3.9422947173926605e-06
Hemichordata,,,,,,,,3.210154269876881e-06
Miscellaneous Euryarchaeotic Group(MEG),,,,,,,,2.9285617900631195e-06
Candidatus Aminicenantota,,,,,,,,2.8722432941003674e-06
PAUC34f,,,,,,,,2.7596063021748628e-06
AC1,,,,,,,,2.3653768304355967e-06
MAST-12,,,,,,,,2.309058334472844e-06
LCP-89,,,,,,,,2.252739838510092e-06
BJ-169,,,,,,,,2.1401028465845874e-06
WPS-2,,,,,,,,2.083784350621835e-06
Breviatea,,,,,,,,2.0274658546590828e-06
Hydrogenedentes,,,,,,,,1.8585103667708258e-06
Apusomonadidae,,,,,,,,1.8021918708080735e-06
BRC1,,,,,,,,1.520599390994312e-06
Picozoa,,,,,,,,1.520599390994312e-06
FBP,,,,,,,,1.4079623990688074e-06
D4P07G08,,,,,,,,1.2390069111805505e-06
Candidatus Calescamantes,,,,,,,,1.126369919255046e-06
AK8,,,,,,,,1.126369919255046e-06
Opalinata,,,,,,,,1.126369919255046e-06
Candidate division YNPFFA,,,,,,,,1.126369919255046e-06
Orthonectida,,,,,,,,1.0700514232922937e-06
CPR2,,,,,,,,1.0137329273295414e-06
Brachiopoda,,,,,,,,1.0137329273295414e-06
Candidatus Moduliflexota,,,,,,,,9.57414431366789e-07
WS2,,,,,,,,7.884589434785322e-07
Candidatus Magasanikiibacteriota,,,,,,,,7.321404475157799e-07
WS1,,,,,,,,7.321404475157799e-07
Telonema,,,,,,,,6.758219515530276e-07
Chaetognatha,,,,,,,,6.758219515530276e-07
Ancyromonadida,,,,,,,,6.195034555902752e-07
Neocallimastigomycota,,,,,,,,5.068664636647707e-07
WA-aaa01f12,,,,,,,,4.5054796770201837e-07
Loricifera,,,,,,,,4.5054796770201837e-07
Kickxellomycotina,,,,,,,,4.5054796770201837e-07
Candidatus Rokuibacteriota,,,,,,,,4.5054796770201837e-07
Ancient Archaeal Group(AAG),,,,,,,,3.942294717392661e-07
Candidatus Moraniibacteriota,,,,,,,,3.942294717392661e-07
MSBL1,,,,,,,,3.379109757765138e-07
Prasinodermophyta,,,,,,,,3.379109757765138e-07
Bicosoecida,,,,,,,,3.379109757765138e-07
Holozoa,,,,,,,,2.815924798137615e-07
Gnathostomulida,,,,,,,,2.815924798137615e-07
Nematomorpha,,,,,,,,2.2527398385100919e-07
Halobacteriota,,,,,,,,2.2527398385100919e-07
Onychophora,,,,,,,,2.2527398385100919e-07
MD2896-B216,,,,,,,,2.2527398385100919e-07
Fervidibacteria,,,,,,,,2.2527398385100919e-07
unidentified archaeon   ,,,,,,,,1.689554878882569e-07
Parvarchaeota,,,,,,,,1.689554878882569e-07
Altiarchaeales,,,,,,,,1.689554878882569e-07
GN01,,,,,,,,1.1263699192550459e-07
RsaHf231,,,,,,,,1.1263699192550459e-07
Entomophthoromycota,,,,,,,,1.1263699192550459e-07
NAMAKO-1,,,,,,,,1.1263699192550459e-07
Ochrophyta,,,,,,,,1.1263699192550459e-07
Candidatus Kapaibacteriota,,,,,,,,1.1263699192550459e-07
Candidatus Paceibacterota,,,,,,,,1.1263699192550459e-07
Zoopagomycotina,,,,,,,,1.1263699192550459e-07
Candidatus Amesbacteria,,,,,,,,1.1263699192550459e-07
Mucoromycotina,,,,,,,,0.0
pMC2A209,,,,,,,,0.0
