,taxon_id,GCF_000002765.6_genus,GCF_000007345.1_genus,GCF_000012325.1_genus,GCF_000016525.1_genus,GCF_000063445.1_genus,GCF_000150955.2_genus,GCF_000204415.1_genus,GCF_000208865.1_genus,GCF_000967895.1_genus,GCF_001653755.1_genus,GCF_002287195.1_genus,GCF_002310855.1_genus,GCF_009362255.1_genus,GCF_030704535.1_genus,GCF_032362555.1_genus
Nothophytophthora,2025987.0,,,,,,2.417498628673903e-07,,2.8627927831856727e-06,,,,,,2.3809523809523808e-06,
Nibricoccus,2576890.0,,,,,,2.417498628673903e-07,,,,,,,,,
Actinomortierella,2779867.0,,,,,,2.417498628673903e-07,,,,,,,,6.190476190476191e-06,2.1515151515151516e-05
Pontixanthobacter,2792075.0,,,,,,2.417498628673903e-07,,,,,,,,,
Erythrobacter,1041.0,,,,,,1.2087493143369515e-07,,,,,,,,1.4285714285714286e-06,
Synechococcus,1129.0,,,,,,1.2087493143369515e-07,,,,,,,,0.00016333333333333334,9.09090909090909e-07
Nitrospira,1234.0,,,,,,1.2087493143369515e-07,,,,,,,,,3.0303030303030305e-07
Deinococcus,1298.0,,,,,,1.2087493143369515e-07,,,,,,,,5.7142857142857145e-06,1.5151515151515152e-06
Gordonia,2053.0,,,,,,1.2087493143369515e-07,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Halobacterium,2239.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Porphyra,2784.0,,,,,,1.2087493143369515e-07,,,,,,,,1.1428571428571429e-05,3.939393939393939e-06
Porphyridium,2791.0,,,,,,1.2087493143369515e-07,,7.156981957964182e-07,,,,,,3.285714285714286e-05,8.787878787878788e-06
Cylindrotheca,2852.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Chlorella,3071.0,,,,,,1.2087493143369515e-07,,,,,,,,0.00035761904761904764,1.0303030303030302e-05
Scenedesmus,3087.0,,,,,,1.2087493143369515e-07,,,,,,,,9.095238095238095e-05,1.1212121212121212e-05
Spizellomyces,4815.0,,,,,,1.2087493143369515e-07,,,,,,,,4.7619047619047615e-06,1.0303030303030302e-05
Endogone,4871.0,,,,,,1.2087493143369515e-07,,,,,,,,2.3809523809523808e-06,3.3333333333333333e-06
Yarrowia,4951.0,,,,,,1.2087493143369515e-07,,,,,,,,1.0476190476190477e-05,3.636363636363636e-06
Penicillium,5073.0,,,,,,1.2087493143369515e-07,,,,,,,,5.2380952380952384e-06,5.151515151515151e-06
Monascus,5097.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Ascosphaera,5104.0,,,,,,1.2087493143369515e-07,,,,,,,,9.523809523809523e-07,1.5151515151515152e-06
Cryptococcus,5206.0,,,,,,1.2087493143369515e-07,,,,,,,,9.523809523809523e-07,2.121212121212121e-06
Melampsora,5260.0,,,,,,1.2087493143369515e-07,,,,,,,,9.523809523809523e-07,1.818181818181818e-06
Suillus,5379.0,,,,,,1.2087493143369515e-07,,,,,,,,9.523809523809523e-07,2.4242424242424244e-06
Russula,5402.0,,,,,,1.2087493143369515e-07,,,,,,,,4.761904761904762e-07,0.0003978787878787879
Trichosporon,5552.0,,,,,,1.2087493143369515e-07,,,,,,,,5.7142857142857145e-06,6.060606060606061e-07
Neospora,29175.0,,,,,,1.2087493143369515e-07,,0.42457865057967975,,,,,,9.523809523809523e-07,3.0303030303030305e-07
Calocera,29888.0,,,,,,1.2087493143369515e-07,,,,,,,,1.4285714285714286e-06,2.7272727272727272e-06
Lactarius,34444.0,,,,,,1.2087493143369515e-07,,7.156981957964182e-07,,,,,,9.523809523809523e-07,
Cantharellus,36065.0,,,,,,1.2087493143369515e-07,,,,,,,,4.761904761904762e-07,
Pisolithus,37467.0,,,,,,1.2087493143369515e-07,,,,,,,,4.761904761904762e-07,1.818181818181818e-06
Auriscalpium,40418.0,,,,,,1.2087493143369515e-07,,,,,,,,4.761904761904762e-07,1.5151515151515152e-06
Pycnococcus,41879.0,,,,,,1.2087493143369515e-07,,,,,,,,8.285714285714286e-05,4.5454545454545455e-06
Amanita,41955.0,,,,,,1.2087493143369515e-07,,,,,,,,3.3333333333333333e-06,3.3333333333333333e-06
Devosia,46913.0,,,,,,1.2087493143369515e-07,,,,,,,,4.761904761904762e-07,3.0303030303030305e-07
Catellatospora,53365.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Malassezia,55193.0,,,,,,1.2087493143369515e-07,,,,,,,,5.7142857142857145e-06,1.3333333333333333e-05
Vogesella,57739.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Pseudozyma,63298.0,,,,,,1.2087493143369515e-07,,,,,,,,9.523809523809523e-07,3.636363636363636e-06
Desulfurobacterium,64159.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Collozoum,65591.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Haslea,67475.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Pluteus,68743.0,,,,,,1.2087493143369515e-07,,,,,,,,,3.0303030303030305e-07
Stachybotrys,74721.0,,,,,,1.2087493143369515e-07,,,,,,,,,1.818181818181818e-06
Hemiselmis,77924.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Serpula,80744.0,,,,,,1.2087493143369515e-07,,,,,,,,9.523809523809523e-07,9.09090909090909e-07
Virgibacillus,84406.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Phaffia,107449.0,,,,,,1.2087493143369515e-07,,,,,,,,2.3809523809523808e-06,3.636363636363636e-06
Catenaria,109875.0,,,,,,1.2087493143369515e-07,,,,,,,,3.3333333333333333e-06,8.787878787878788e-06
Gonapodya,109944.0,,,,,,1.2087493143369515e-07,,,,,,,,7.142857142857143e-06,1.696969696969697e-05
Micractinium,126838.0,,,,,,1.2087493143369515e-07,,,,,,,,3.809523809523809e-05,6.96969696969697e-06
Chilodonella,151076.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Pinguiococcus,172670.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Pseudorhodobacter,238783.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Leeuwenhoekiella,283735.0,,,,,,1.2087493143369515e-07,,,,,,,1e-05,,
Rubritalea,361050.0,,,,,,1.2087493143369515e-07,,,,,,,,9.523809523809523e-07,
Komagataella,460517.0,,,,,,1.2087493143369515e-07,,,,,,,,4.761904761904762e-07,3.0303030303030305e-06
Perkinsela,630701.0,,,,,,1.2087493143369515e-07,,,,,,,,1.9047619047619047e-06,1.2121212121212122e-06
Lichtheimia,688353.0,,,,,,1.2087493143369515e-07,,,,,,,,6.190476190476191e-06,1.2424242424242424e-05
Euzebya,908623.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Zymoseptoria,1047167.0,,,,,,1.2087493143369515e-07,,,,,,,,,6.060606060606061e-07
Pelagibacterium,1082930.0,,,,,,1.2087493143369515e-07,,7.156981957964182e-07,,,,,,9.523809523809523e-07,1.2121212121212122e-06
Sodiomyces,1401161.0,,,,,,1.2087493143369515e-07,,,,,,,,,6.060606060606061e-07
Glycocaulis,1433402.0,,,,,,1.2087493143369515e-07,,,,,,,,1.9047619047619046e-05,9.09090909090909e-07
Modicella,1440132.0,,,,,,1.2087493143369515e-07,,,,,,,,1.9047619047619047e-06,3.0303030303030305e-07
Paramicrosporidium,1493516.0,,,,,,1.2087493143369515e-07,,,,,,,,7.619047619047619e-06,5.4545454545454545e-06
Chitinivibrio,1505231.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Neorhizobium,1525371.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Conticribra,1577724.0,,,,,,1.2087493143369515e-07,,,,,,,,,3.0303030303030305e-07
Pararhizobium,1612611.0,,,,,,1.2087493143369515e-07,,,,,,,,,1.818181818181818e-06
Sanghuangporus,1659840.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Myochromella,1663023.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Limibacillus,1848396.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Cephaloticoccus,1849551.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Parendozoicomonas,2066475.0,,,,,,1.2087493143369515e-07,,,,,,5e-06,,4.761904761904762e-07,
Hondaea,2315209.0,,,,,,1.2087493143369515e-07,,,,,,,,9.523809523809523e-06,1.1818181818181819e-05
Parerythrobacter,2800684.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Entomobacter,2811380.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Pseudobdellovibrio,2862745.0,,,,,,1.2087493143369515e-07,,,,,,,,,
Smithella,182623.0,,,,,,,4e-05,,,,,,,,
Halocalculus,1779002.0,,,,,,,3.5e-05,,,,,,,,
Methanofollis,81416.0,,,,,,,1.5e-05,,,,,,,,
Botrimarina,2795782.0,,,,,,,1.5e-05,,,,,,,4.761904761904762e-07,
Palaeococcus,83867.0,,,,,,,5e-06,,,,,,,,
Desulfatibacillum,218207.0,,,,,,,5e-06,,,,,,,,
Syntrophorhabdus,513557.0,,,,,,,5e-06,,,,,,,,
Halovenus,1377992.0,,,,,,,5e-06,,,,,,,,
Toxoplasma,5810.0,,,,,,,,0.005560974981338169,,,,,,9.523809523809523e-07,5.151515151515151e-06
Cyclospora,44417.0,,,,,,,,4.580468453097076e-05,,,,,,1.4285714285714286e-06,2.7272727272727272e-06
Sarcocystis,5812.0,,,,,,,,1.3598265720131946e-05,,,,,,,
Vitrella,1169538.0,,,,,,,,1.145117113274269e-05,,,,,,9.523809523809523e-06,6.96969696969697e-06
Hammondia,99157.0,,,,,,,,1.0735472936946273e-05,,,,,,,
Cardiosporidium,476201.0,,,,,,,,7.8726801537606e-06,,,,,,2.8571428571428573e-06,3.3333333333333333e-06
Mesomycoplasma,2923352.0,,,,,,,,5.009887370574928e-06,,,,,,,
Sphaerobolus,68785.0,,,,,,,,4.294189174778509e-06,,,,,,2.3809523809523808e-06,9.09090909090909e-07
Paramecium,5884.0,,,,,,,,3.578490978982091e-06,,,,,,5.2380952380952384e-06,4.5454545454545455e-06
Dacryopinax,139276.0,,,,,,,,3.578490978982091e-06,,,,,,,3.0303030303030305e-07
Morchella,5193.0,,,,,,,,2.1470945873892545e-06,,,,,,1.9047619047619047e-06,1.2121212121212122e-06
Tolypocladium,29909.0,,,,,,,,2.1470945873892545e-06,,,,,,9.523809523809523e-07,
Hericium,40459.0,,,,,,,,2.1470945873892545e-06,,,,,,1.9047619047619047e-06,
Pfiesteria,71000.0,,,,,,,,2.1470945873892545e-06,,,,,,,
Lipomyces,29828.0,,,,,,,,1.4313963915928364e-06,,,,,,4.761904761904762e-07,1.818181818181818e-06
Pseudocohnilembus,35103.0,,,,,,,,1.4313963915928364e-06,,,,,,5.2380952380952384e-06,4.5454545454545455e-06
Corynespora,59585.0,,,,,,,,1.4313963915928364e-06,,,,,,,3.939393939393939e-06
Coprinopsis,184431.0,,,,,,,,1.4313963915928364e-06,,,,,,4.761904761904762e-07,2.121212121212121e-06
Citrobacter,544.0,,,,,,,,7.156981957964182e-07,,,,,,6.571428571428571e-05,0.0005054545454545455
Volvox,3066.0,,,,,,,,7.156981957964182e-07,,,,,,4.3333333333333334e-05,1.393939393939394e-05
Histoplasma,5036.0,,,,,,,,7.156981957964182e-07,,,,,,4.761904761904762e-07,
Erysiphe,5121.0,,,,,,,,7.156981957964182e-07,,,,,,1.0952380952380953e-05,3.5757575757575754e-05
Ceratobasidium,5251.0,,,,,,,,7.156981957964182e-07,,,,,,6.190476190476191e-06,2.4242424242424244e-06
Phanerochaete,5305.0,,,,,,,,7.156981957964182e-07,,,,,,5.2380952380952384e-06,2.4242424242424244e-06
Encephalitozoon,6033.0,,,,,,,,7.156981957964182e-07,,,,,,4.761904761904762e-07,6.060606060606061e-07
Syncephalastrum,13705.0,,,,,,,,7.156981957964182e-07,,,,,,3.8095238095238094e-06,5.4545454545454545e-06
Podosphaera,62701.0,,,,,,,,7.156981957964182e-07,,,,,,,
Roseovarius,74030.0,,,,,,,,7.156981957964182e-07,,,,,,9.523809523809523e-07,9.09090909090909e-07
Amoebophrya,88551.0,,,,,,,,7.156981957964182e-07,,,,,,6.190476190476191e-06,1.2424242424242424e-05
Sorogena,164620.0,,,,,,,,7.156981957964182e-07,,,,,,,
Leucocytozoon,195944.0,,,,,,,,7.156981957964182e-07,,,,,,,
Carpediemonas,201152.0,,,,,,,,7.156981957964182e-07,,,,,,2.3809523809523808e-06,3.939393939393939e-06
Dyella,231454.0,,,,,,,,7.156981957964182e-07,,,,,,9.523809523809523e-07,1.2121212121212122e-06
Oleispira,188907.0,,,,,,,,,0.95869,,,,,,
Oleibacter,759360.0,,,,,,,,,0.00026,,,0.00015,,,
Burkholderia,32008.0,,,,,,,,,0.00018,,,1e-05,,8.61904761904762e-05,6.96969696969697e-06
Halopseudomonas,2901189.0,,,,,,,,,0.00018,,,,,,6.151515151515151e-05
Photobacterium,657.0,,,,,,,,,0.00014,,,0.00033,,0.0005314285714285715,
Halioglobus,1217416.0,,,,,,,,,0.00013,,,,,,
Novimethylophilus,2137425.0,,,,,,,,,0.00013,,,,,,
Cobetia,204286.0,,,,,,,,,9e-05,,,7.5e-05,,0.00024857142857142857,
Bermanella,599651.0,,,,,,,,,7e-05,,,,,,
Blastopirellula,265487.0,,,,,,,,,6e-05,,,,,4.761904761904762e-07,
Teredinibacter,2425.0,,,,,,,,,5e-05,,,,,1.9047619047619047e-06,
Thalassomonas,137583.0,,,,,,,,,5e-05,,,5e-06,,,
Enhydrobacter,212791.0,,,,,,,,,5e-05,,,,,,
Parasutterella,577310.0,,,,,,,,,4e-05,,,0.000105,,,
Sinobacterium,1434044.0,,,,,,,,,4e-05,,,,,,
Thalassolituus,187492.0,,,,,,,,,3e-05,,,,,,
Oceanicoccus,1084558.0,,,,,,,,,3e-05,,,,,,6.060606060606061e-07
Bacterioplanes,1537406.0,,,,,,,,,3e-05,,,,,,
Methylomonas,416.0,,,,,,,,,2e-05,,,,,,3.0303030303030305e-07
Marinospirillum,64968.0,,,,,,,,,2e-05,,,,,,
Oleiphilus,141450.0,,,,,,,,,2e-05,,,,,,3.0303030303030305e-07
Trabulsiella,158851.0,,,,,,,,,2e-05,,,,,,
Agarivorans,261825.0,,,,,,,,,2e-05,,,,,,3.0303030303030305e-07
Candidatus Berkiella,1755683.0,,,,,,,,,2e-05,,,,,,
Ancylobacter,99.0,,,,,,,,,1e-05,,,,,,
Azospirillum,191.0,,,,,,,,,1e-05,,,,,2.3809523809523808e-06,6.060606060606061e-07
Morganella,581.0,,,,,,,,,1e-05,,,,,,
Xenorhabdus,626.0,,,,,,,,,1e-05,,,4.5e-05,,,
Actinobacillus,713.0,,,,,,,,,1e-05,,,,,,
Glomus,4875.0,,,,,,,,,1e-05,,,,,3.3333333333333333e-06,2.7272727272727272e-06
Photorhabdus,29487.0,,,,,,,,,1e-05,,,,,,
Candidatus Kinetoplastibacterium,33055.0,,,,,,,,,1e-05,,,,,,
Nitrococcus,35796.0,,,,,,,,,1e-05,,,,,,
Marinobacterium,48075.0,,,,,,,,,1e-05,,,5e-06,,1.4285714285714286e-06,6.060606060606061e-07
Chrysiogenes,118004.0,,,,,,,,,1e-05,,,,,,
Anaerostipes,207244.0,,,,,,,,,1e-05,,,,,,
Reinekea,230494.0,,,,,,,,,1e-05,,,,,,
Nitrincola,267849.0,,,,,,,,,1e-05,,,,,,
Paraferrimonas,375673.0,,,,,,,,,1e-05,,,,,0.00012952380952380952,1.2121212121212122e-06
Cronobacter,413496.0,,,,,,,,,1e-05,,,,,1.7142857142857142e-05,1.2121212121212122e-06
Candidatus Nitrotoga,453161.0,,,,,,,,,1e-05,,,,,,
Cocleimonas,998014.0,,,,,,,,,1e-05,,,,,4.761904761904762e-07,
Komagataeibacter,1434011.0,,,,,,,,,1e-05,,,,,,
Lactiplantibacillus,2767842.0,,,,,,,,,1e-05,,,,,1.0952380952380953e-05,1.2121212121212122e-06
Dokdonia,326319.0,,,,,,,,,,0.8245,,,,,
Maribacter,252356.0,,,,,,,,,,0.00013,,,4e-05,,
Aquimarina,290174.0,,,,,,,,,,9e-05,,,3e-05,,
Tenacibaculum,104267.0,,,,,,,,,,8e-05,,,0.31809,,
Muricauda,111500.0,,,,,,,,,,8e-05,,,1e-05,9.61904761904762e-05,
Winogradskyella,286104.0,,,,,,,,,,8e-05,,,4e-05,1.4285714285714286e-06,1.2121212121212122e-06
Algibacter,261827.0,,,,,,,,,,6e-05,,,2e-05,,
Nonlabens,363408.0,,,,,,,,,,6e-05,,,,,
Bacteroides,816.0,,,,,,,,,,4e-05,,,,1.2380952380952381e-05,3.0303030303030305e-07
Psychroflexus,83612.0,,,,,,,,,,4e-05,,,,,
Lacinutrix,291183.0,,,,,,,,,,4e-05,,,,,
Capnocytophaga,1016.0,,,,,,,,,,3e-05,,,6e-05,,
Kordia,221065.0,,,,,,,,,,3e-05,,,2e-05,,
Psychroserpens,49277.0,,,,,,,,,,2e-05,,,1e-05,,
Gelidibacter,49279.0,,,,,,,,,,2e-05,,,,1.9047619047619047e-06,1.818181818181818e-06
Gillisia,244698.0,,,,,,,,,,2e-05,,,,,
Robiginitalea,252306.0,,,,,,,,,,2e-05,,,,4.761904761904762e-07,
Olleya,336276.0,,,,,,,,,,2e-05,,,,,
Fulvivirga,396811.0,,,,,,,,,,2e-05,,,,4.761904761904762e-07,
Hyunsoonleella,1080193.0,,,,,,,,,,2e-05,,,,,
Flavivirga,1209327.0,,,,,,,,,,2e-05,,,,,
Pustulibacterium,1649485.0,,,,,,,,,,2e-05,,,,,
Oceanihabitans,2045416.0,,,,,,,,,,2e-05,,,,,
Lewinella,70994.0,,,,,,,,,,1e-05,,,,,9.09090909090909e-07
Cellulophaga,104264.0,,,,,,,,,,1e-05,,,,,
Salegentibacter,143222.0,,,,,,,,,,1e-05,,,2e-05,,
Arenibacter,178469.0,,,,,,,,,,1e-05,,,1e-05,,
Croceibacter,216431.0,,,,,,,,,,1e-05,,,,,
Formosa,225842.0,,,,,,,,,,1e-05,,,4e-05,,
Crocinitomix,246873.0,,,,,,,,,,1e-05,,,,,
Bizionia,283785.0,,,,,,,,,,1e-05,,,1e-05,,
Subsaximicrobium,291178.0,,,,,,,,,,1e-05,,,,,
Galbibacter,379068.0,,,,,,,,,,1e-05,,,,,
Tamlana,393005.0,,,,,,,,,,1e-05,,,2e-05,4.761904761904762e-07,
Mesoflavibacter,444051.0,,,,,,,,,,1e-05,,,1e-05,,
Salinimicrobium,561367.0,,,,,,,,,,1e-05,,,,,6.060606060606061e-07
Zeaxanthinibacter,561554.0,,,,,,,,,,1e-05,,,,,
Aureitalea,1176327.0,,,,,,,,,,1e-05,,,,,
Euzebyella,1287916.0,,,,,,,,,,1e-05,,,,,
Sinomicrobium,1434045.0,,,,,,,,,,1e-05,,,,,6.060606060606061e-07
Moheibacter,1572763.0,,,,,,,,,,1e-05,,,,,3.0303030303030305e-07
Sabulilitoribacter,1573059.0,,,,,,,,,,1e-05,,,,,
Flavimarina,1606872.0,,,,,,,,,,1e-05,,,,,
Hwangdonia,1649460.0,,,,,,,,,,1e-05,,,,,
Pseudobizionia,2125981.0,,,,,,,,,,1e-05,,,,,
Urechidicola,2700084.0,,,,,,,,,,1e-05,,,,,
Cochleicola,2740719.0,,,,,,,,,,1e-05,,,,,
Patiriisocius,2822394.0,,,,,,,,,,1e-05,,,1e-05,,
Anaerotruncus,244127.0,,,,,,,,,,,2.275862068965517e-05,,,,
Moraxella,475.0,,,,,,,,,,,1.2758620689655172e-05,,,2.3809523809523808e-06,6.060606060606061e-07
Methanothermobacter,145260.0,,,,,,,,,,,1.3793103448275862e-06,,,,
Methanothermus,2179.0,,,,,,,,,,,6.896551724137931e-07,,,,
Ferroplasma,74968.0,,,,,,,,,,,6.896551724137931e-07,,,,
Butyrivibrio,830.0,,,,,,,,,,,3.4482758620689656e-07,,,,
Thiothrix,1030.0,,,,,,,,,,,3.4482758620689656e-07,,,4.761904761904762e-07,3.0303030303030305e-07
Lactococcus,1357.0,,,,,,,,,,,3.4482758620689656e-07,,,,
Desulfosarcina,2299.0,,,,,,,,,,,3.4482758620689656e-07,,,,3.0303030303030305e-07
Thermoplasma,2302.0,,,,,,,,,,,3.4482758620689656e-07,,,,
Anaerobiospirillum,13334.0,,,,,,,,,,,3.4482758620689656e-07,,,,
Microlunatus,29404.0,,,,,,,,,,,3.4482758620689656e-07,,,,
Chryseobacterium,59732.0,,,,,,,,,,,3.4482758620689656e-07,,1e-05,9.047619047619047e-06,
Macrococcus,69965.0,,,,,,,,,,,3.4482758620689656e-07,,,4.761904761904762e-07,0.0003503030303030303
Pelotomaculum,191373.0,,,,,,,,,,,3.4482758620689656e-07,,,1.9047619047619047e-06,
Edaphobacter,388463.0,,,,,,,,,,,3.4482758620689656e-07,,,,9.09090909090909e-07
Nitrosarchaeum,1007082.0,,,,,,,,,,,3.4482758620689656e-07,,,,
Halorussus,1070314.0,,,,,,,,,,,3.4482758620689656e-07,,,,
Faecalitalea,1573534.0,,,,,,,,,,,3.4482758620689656e-07,,,,
Limnochorda,1676651.0,,,,,,,,,,,3.4482758620689656e-07,,,,
Salinicola,404432.0,,,,,,,,,,,,0.0002,,,
Glaesserella,2094023.0,,,,,,,,,,,,8e-05,,,6.060606060606061e-07
Thiomonas,32012.0,,,,,,,,,,,,3.5e-05,,,3.0303030303030305e-07
Mycobacterium,1763.0,,,,,,,,,,,,3e-05,,4.2857142857142855e-06,1.2121212121212122e-06
Acidocella,50709.0,,,,,,,,,,,,2.5e-05,,4.761904761904762e-07,3.0303030303030305e-07
Idiomarina,135575.0,,,,,,,,,,,,1.5e-05,,,
Geitlerinema,63132.0,,,,,,,,,,,,1e-05,,2.5238095238095237e-05,
Rheinheimera,67575.0,,,,,,,,,,,,1e-05,,,
Paraburkholderia,1822464.0,,,,,,,,,,,,1e-05,,3.285714285714286e-05,3.0303030303030305e-07
Algibacillus,2798470.0,,,,,,,,,,,,1e-05,,,
Allgaiera,2823221.0,,,,,,,,,,,,1e-05,,,
Heliomicrobium,2831443.0,,,,,,,,,,,,1e-05,,9.523809523809523e-07,
Neisseria,482.0,,,,,,,,,,,,5e-06,,3.3333333333333333e-06,4.848484848484849e-06
Prevotella,838.0,,,,,,,,,,,,5e-06,1e-05,2.3809523809523808e-06,1.2121212121212122e-06
Desulfuromonas,890.0,,,,,,,,,,,,5e-06,,9.523809523809523e-07,3.0303030303030305e-07
Rhodovulum,34008.0,,,,,,,,,,,,5e-06,,1.1904761904761905e-05,
Methylophaga,40222.0,,,,,,,,,,,,5e-06,,4.761904761904762e-07,
Leucothrix,45247.0,,,,,,,,,,,,5e-06,,,
Bosea,85413.0,,,,,,,,,,,,5e-06,,1.4285714285714286e-06,
Massilia,149698.0,,,,,,,,,,,,5e-06,,4.2857142857142855e-06,3.0303030303030305e-07
Astraeus,150781.0,,,,,,,,,,,,5e-06,,,1.2121212121212122e-06
Aestuariibacter,249523.0,,,,,,,,,,,,5e-06,,9.523809523809523e-07,
Salinimonas,288793.0,,,,,,,,,,,,5e-06,,,6.060606060606061e-07
Phaeobacter,302485.0,,,,,,,,,,,,5e-06,,,
Candidatus Regiella,568988.0,,,,,,,,,,,,5e-06,,,
Spongiibacter,630749.0,,,,,,,,,,,,5e-06,,,
Candidatus Profftia,1177214.0,,,,,,,,,,,,5e-06,,,
Candidatus Endolissoclinum,1263978.0,,,,,,,,,,,,5e-06,,1.9047619047619047e-06,
Halobacteriovorax,1652133.0,,,,,,,,,,,,5e-06,,4.761904761904762e-07,
Corallincola,1775176.0,,,,,,,,,,,,5e-06,,,
Motilimonas,1914248.0,,,,,,,,,,,,5e-06,,4.761904761904762e-07,6.060606060606061e-07
Marinibactrum,1930860.0,,,,,,,,,,,,5e-06,,,
Chlamydia,810.0,,,,,,,,,,,,,4e-05,1.4285714285714285e-05,6.0606060606060605e-05
Mangrovimonas,1211036.0,,,,,,,,,,,,,4e-05,3.8095238095238094e-06,
Wenyingzhuangia,1518147.0,,,,,,,,,,,,,4e-05,9.523809523809523e-07,
Aequorivita,153265.0,,,,,,,,,,,,,3e-05,,9.09090909090909e-07
Lutibacter,358023.0,,,,,,,,,,,,,3e-05,,6.060606060606061e-07
Robertkochia,1649489.0,,,,,,,,,,,,,2e-05,9.523809523809523e-07,
Seonamhaeicola,1649495.0,,,,,,,,,,,,,2e-05,,
Riemerella,34084.0,,,,,,,,,,,,,1e-05,,
Pedobacter,84567.0,,,,,,,,,,,,,1e-05,3.8095238095238094e-06,1.818181818181818e-06
Acaryochloris,155977.0,,,,,,,,,,,,,1e-05,1.9047619047619047e-06,1.5151515151515152e-06
Gaetbulibacter,311207.0,,,,,,,,,,,,,1e-05,,
Parabacteroides,375288.0,,,,,,,,,,,,,1e-05,,3.0303030303030305e-07
Flagellimonas,444459.0,,,,,,,,,,,,,1e-05,,
Neosynechococcus,1501143.0,,,,,,,,,,,,,1e-05,,
Desulfoprunum,1654934.0,,,,,,,,,,,,,1e-05,,
Apibacter,1778601.0,,,,,,,,,,,,,1e-05,,3.0303030303030305e-07
Ochrovirga,1916646.0,,,,,,,,,,,,,1e-05,,3.0303030303030305e-07
Aureibaculum,2706948.0,,,,,,,,,,,,,1e-05,,
Frankia,1854.0,,,,,,,,,,,,,,0.003299047619047619,1.5151515151515152e-06
Staphylococcus,1279.0,,,,,,,,,,,,,,0.0015676190476190477,4.5454545454545455e-06
Modestobacter,88138.0,,,,,,,,,,,,,,0.0015338095238095239,
Blastococcus,38501.0,,,,,,,,,,,,,,0.00145,
Solirubrobacter,207599.0,,,,,,,,,,,,,,0.001381904761904762,
Paenarthrobacter,1742992.0,,,,,,,,,,,,,,0.001312857142857143,
Labilibacter,1849718.0,,,,,,,,,,,,,,0.0006428571428571428,
Actinomadura,1988.0,,,,,,,,,,,,,,0.0005376190476190476,1.2121212121212122e-06
Ancylomarina,1970195.0,,,,,,,,,,,,,,0.0005038095238095238,
Mesorhizobium,68287.0,,,,,,,,,,,,,,0.00045142857142857143,3.0303030303030305e-07
Xylella,2370.0,,,,,,,,,,,,,,0.0004438095238095238,1.2121212121212122e-06
Flectobacillus,101.0,,,,,,,,,,,,,,0.00038857142857142855,
Geminicoccus,489140.0,,,,,,,,,,,,,,0.0003119047619047619,
Rhodopirellula,265488.0,,,,,,,,,,,,,,0.00030333333333333335,
Salinicoccus,45669.0,,,,,,,,,,,,,,0.00030238095238095236,
Acetobacter,434.0,,,,,,,,,,,,,,0.00027714285714285715,2.4242424242424244e-06
Golovinomyces,184027.0,,,,,,,,,,,,,,0.0002680952380952381,1.5151515151515152e-06
Rhizobium,379.0,,,,,,,,,,,,,,0.0001995238095238095,1.2121212121212122e-06
Chorda,45033.0,,,,,,,,,,,,,,0.0001795238095238095,
Bradyrhizobium,374.0,,,,,,,,,,,,,,0.00016714285714285713,1.818181818181818e-06
Ulva,3118.0,,,,,,,,,,,,,,0.00016523809523809525,
Coccomyxa,41891.0,,,,,,,,,,,,,,0.00015047619047619048,9.696969696969698e-06
Marinifilum,866673.0,,,,,,,,,,,,,,0.0001461904761904762,
Micromonas,38832.0,,,,,,,,,,,,,,0.00014047619047619049,1.6666666666666667e-05
Soehngenia,253255.0,,,,,,,,,,,,,,0.00012428571428571428,9.09090909090909e-07
Weizmannia,2817139.0,,,,,,,,,,,,,,0.00012333333333333334,
Hymenobacter,89966.0,,,,,,,,,,,,,,0.00012,3.0303030303030305e-06
Nocardioides,1839.0,,,,,,,,,,,,,,0.00011380952380952381,5.1212121212121215e-05
Steroidobacter,469322.0,,,,,,,,,,,,,,0.00010761904761904762,
Corallococcus,83461.0,,,,,,,,,,,,,,0.00010142857142857143,9.09090909090909e-07
Desulfovibrio,872.0,,,,,,,,,,,,,,8.904761904761905e-05,9.09090909090909e-05
