,taxon_id,GCF_000002765.6_species,GCF_000007345.1_species,GCF_000012325.1_species,GCF_000016525.1_species,GCF_000063445.1_species,GCF_000150955.2_species,GCF_000204415.1_species,GCF_000208865.1_species,GCF_000967895.1_species,GCF_001653755.1_species,GCF_002287195.1_species,GCF_002310855.1_species,GCF_009362255.1_species,GCF_030704535.1_species,GCF_032362555.1_species
Pseudoalteromonas sp. SCSIO_11900,1461766.0,,,,,,,,,,,,1e-05,,,
Pseudoalteromonas sp. ECSMB14103,1580062.0,,,,,,,,,,,,1e-05,,,
Pseudoalteromonas sp. P1-16-1b,1723757.0,,,,,,,,,,,,1e-05,,,
Pseudoalteromonas sp. TB64,1938600.0,,,,,,,,,,,,1e-05,,,
Geitlerinema sp. FC II,2028210.0,,,,,,,,,,,,1e-05,,2.4761904761904762e-05,
Pseudoalteromonas sp. 3D05,2045444.0,,,,,,,,,,,,1e-05,,,
Psychromonas sp. MB-3u-54,2058319.0,,,,,,,,,,,,1e-05,,,
Algibacillus agarilyticus,2234133.0,,,,,,,,,,,,1e-05,,,
Paraburkholderia dioscoreae,2604047.0,,,,,,,,,,,,1e-05,,,
Pseudoalteromonas sp. S16_S37,2720228.0,,,,,,,,,,,,1e-05,,,
Pseudoalteromonas sp. 5Ae-yellow,2759847.0,,,,,,,,,,,,1e-05,,,
Pseudoalteromonas sp. SR41-7,2760947.0,,,,,,,,,,,,1e-05,,,
Pseudoalteromonas sp. EKP108,2770591.0,,,,,,,,,,,,1e-05,,,
Pseudoalteromonas sp. SWYJ118,2792062.0,,,,,,,,,,,,1e-05,,,
Pseudoalteromonas sp. CR1,2861964.0,,,,,,,,,,,,1e-05,,,
Alteromonas sp.,232.0,,,,,,,,,,,,5e-06,,,
Shigella sonnei,624.0,,,,,,,,,,,,5e-06,,,
Aeromonas salmonicida,645.0,,,,,,,,,,,,5e-06,,,
Vibrio campbellii,680.0,,,,,,,,,,,,5e-06,,1.6666666666666667e-05,
Haemophilus haemolyticus,726.0,,,,,,,,,,,,5e-06,,,
Rhodoferax fermentans,28066.0,,,,,,,,,,,,5e-06,,,
Alteromonas macleodii,28108.0,,,,,,,,,,,,5e-06,,,3.0303030303030305e-07
Vibrio navarrensis,29495.0,,,,,,,,,,,,5e-06,,,
Rhodovulum sulfidophilum,35806.0,,,,,,,,,,,,5e-06,,1.1904761904761905e-05,
Xenorhabdus bovienii,40576.0,,,,,,,,,,,,5e-06,,,
Leucothrix mucor,45248.0,,,,,,,,,,,,5e-06,,,
Methylophaga sulfidovorans,45496.0,,,,,,,,,,,,5e-06,,,
Serratia fonticola,47917.0,,,,,,,,,,,,5e-06,,,
Burkholderia pyrrocinia,60550.0,,,,,,,,,,,,5e-06,,,
Moritella viscosa,80854.0,,,,,,,,,,,,5e-06,,,
Halobacteriovorax marinus,97084.0,,,,,,,,,,,,5e-06,,4.761904761904762e-07,
Vibrio lentus,136468.0,,,,,,,,,,,,5e-06,,,
Candidatus Regiella insecticola,138073.0,,,,,,,,,,,,5e-06,,,
Prevotella copri,165179.0,,,,,,,,,,,,5e-06,,,
Rheinheimera pacifica,173990.0,,,,,,,,,,,,5e-06,,,
Vibrio superstes,198815.0,,,,,,,,,,,,5e-06,,,
Shewanella psychrophila,225848.0,,,,,,,,,,,,5e-06,,,
Astraeus odoratus,265491.0,,,,,,,,,,,,5e-06,,,1.2121212121212122e-06
Halomonas alkaliphila,272774.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas spongiae,298657.0,,,,,,,,,,,,5e-06,,,
Vibrio comitans,413401.0,,,,,,,,,,,,5e-06,,,
Thalassomonas actiniarum,485447.0,,,,,,,,,,,,5e-06,,,
Marinomonas rhizomae,491948.0,,,,,,,,,,,,5e-06,,,
Alteromonas halophila,516698.0,,,,,,,,,,,,5e-06,,,3.0303030303030305e-07
Pseudoalteromonas sp. S1608,579504.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. S1688,579511.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. S980,579571.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. BSi20429,1097676.0,,,,,,,,,,,,5e-06,,,
Halomonas songnenensis,1176243.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. H105,1348393.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. H71,1348395.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. DL-6,1390185.0,,,,,,,,,,,,5e-06,,,
Marinibactrum halimedae,1444977.0,,,,,,,,,,,,5e-06,,,
Shewanella mangrovi,1515746.0,,,,,,,,,,,,5e-06,,,
Phaeobacter piscinae,1580596.0,,,,,,,,,,,,5e-06,,,
Spongiibacter sp. IMCC21906,1620392.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. P1-9,1710354.0,,,,,,,,,,,,5e-06,,,
Thalassotalea sp. PP2-459,1742724.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. 13-15,1761891.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. DSM 26666,1761892.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. CO342X,1777270.0,,,,,,,,,,,,5e-06,,,
Halomonas sp. KX33721,1819251.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. MQS005,1854052.0,,,,,,,,,,,,5e-06,,,
Alteromonas pelagimontana,1858656.0,,,,,,,,,,,,5e-06,,,
Burkholderiales bacterium,1891238.0,,,,,,,,,,,,5e-06,,,
gamma proteobacterium symbiont of Stewartia floridana,1968599.0,,,,,,,,,,,,5e-06,,,
Candidatus Endolissoclinum sp. TMED55,1986641.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. NBT06-2,2025950.0,,,,,,,,,,,,5e-06,,,
Shewanella sp. Pdp11,2059264.0,,,,,,,,,,,,5e-06,,,
Candidatus Kentron sp. MB,2138164.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. meg-B1,2203192.0,,,,,,,,,,,,5e-06,,,
Corallincola holothuriorum,2282215.0,,,,,,,,,,,,5e-06,,,
Colwellia sp. Arc7-635,2497879.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas rhizosphaerae,2518973.0,,,,,,,,,,,,5e-06,,,
Rheinheimera sp. D18,2545632.0,,,,,,,,,,,,5e-06,,,
Halomonas sp. Y2R2,2562282.0,,,,,,,,,,,,5e-06,,,
Psychrobacter sp. I-STPA6b,2585718.0,,,,,,,,,,,,5e-06,,4.761904761904762e-07,
Burkholderiales bacterium 8X,2653183.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. 31A1,2686351.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. NEC-BIFX-2020_002,2732353.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. 0303,2743618.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. SR45-5,2760928.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. SG45-6,2760953.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. SG44-17,2760963.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. SG43-5,2760968.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. SG41-5,2760975.0,,,,,,,,,,,,5e-06,,,
Thalassotalea sp. LPB0316,2769490.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas ostreae,2774154.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. PA2MD11,2785057.0,,,,,,,,,,,,5e-06,,,
Salinimonas marina,2785918.0,,,,,,,,,,,,5e-06,,,
Psychrobacter sp. Ps6,2790960.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. NSLLW218,2792048.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. SWN166,2792061.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. SWN29,2792064.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. SCQQ13,2792066.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. SWYJZ12,2792067.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. SWYJZ19,2792068.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. SWXJ133,2792069.0,,,,,,,,,,,,5e-06,,,
Desulfuromonas versatilis,2802975.0,,,,,,,,,,,,5e-06,,,
Psychrosphaera ytuae,2820710.0,,,,,,,,,,,,5e-06,,,
Alteromonas sp. C1M14,2841567.0,,,,,,,,,,,,5e-06,,,
Aestuariibacter sp. A3R04,2841571.0,,,,,,,,,,,,5e-06,,,
Vibrio sp. DNF-1,2899784.0,,,,,,,,,,,,5e-06,,,
Pseudoalteromonas sp. OF7H-1,2917755.0,,,,,,,,,,,,5e-06,,,
Tenacibaculum mesophilum,104268.0,,,,,,,,,,,,,0.15789,,
Tenacibaculum sp. Mcav3-52,2917762.0,,,,,,,,,,,,,0.00082,,
Tenacibaculum sp. KUL118,2480802.0,,,,,,,,,,,,,0.0005,,
Tenacibaculum sp. KUL113,2480800.0,,,,,,,,,,,,,0.00046,,
Tenacibaculum gallaicum,561505.0,,,,,,,,,,,,,0.00032,,
Tenacibaculum finnmarkense,2781243.0,,,,,,,,,,,,,0.00023,,
Tenacibaculum singaporense,2358479.0,,,,,,,,,,,,,0.00019,,
Tenacibaculum caenipelagi,1325435.0,,,,,,,,,,,,,0.00017,,
Flavobacterium nitrogenifigens,1617283.0,,,,,,,,,,,,,0.00016,,
Alteromonas sp. KUL156,2480808.0,,,,,,,,,,,,,0.00016,,
Tenacibaculum discolor,361581.0,,,,,,,,,,,,,0.00014,,
Tenacibaculum lutimaris,285258.0,,,,,,,,,,,,,0.00012,,
Tenacibaculum sp. KUL152,2480806.0,,,,,,,,,,,,,0.00012,,
Rhodobacteraceae bacterium 4F10,2045445.0,,,,,,,,,,,,,9e-05,,
Flavobacterium columnare,996.0,,,,,,,,,,,,,8e-05,,
Tenacibaculum litoreum,321269.0,,,,,,,,,,,,,8e-05,,
bacterium F082,1768115.0,,,,,,,,,,,,,7e-05,,
Flavobacteria bacterium BBFL7,156586.0,,,,,,,,,,,,,6e-05,,
Tenacibaculum sp. MAR_2009_124,1250059.0,,,,,,,,,,,,,6e-05,,
Capnocytophaga canimorsus,28188.0,,,,,,,,,,,,,5e-05,,
Tenacibaculum sp. SG-28,754426.0,,,,,,,,,,,,,5e-05,,
Flavobacteriaceae bacterium MAR_2010_188,1250295.0,,,,,,,,,,,,,5e-05,,
Tenacibaculum holothuriorum,1635173.0,,,,,,,,,,,,,5e-05,,
bacterium P201,1768112.0,,,,,,,,,,,,,5e-05,,
Chlamydia trachomatis,813.0,,,,,,,,,,,,,4e-05,,1.5151515151515152e-06
Tenacibaculum adriaticum,413713.0,,,,,,,,,,,,,4e-05,,
Tenacibaculum jejuense,584609.0,,,,,,,,,,,,,4e-05,,
Mangrovimonas yunxiaonensis,1197477.0,,,,,,,,,,,,,4e-05,,
Tenacibaculum sp. MAR_2010_89,1250198.0,,,,,,,,,,,,,4e-05,,
Tenacibaculum skagerrakense,186571.0,,,,,,,,,,,,,3e-05,,
Tenacibaculum soleae,447689.0,,,,,,,,,,,,,3e-05,,
Wenyingzhuangia marina,1195760.0,,,,,,,,,,,,,3e-05,9.523809523809523e-07,
Lutibacter sp. Hel_I_33_5,1566289.0,,,,,,,,,,,,,3e-05,,
Alteromonas sp. KUL154,2480807.0,,,,,,,,,,,,,3e-05,,
Aequorivita vladivostokensis,171194.0,,,,,,,,,,,,,2e-05,,
Kordia algicida,221066.0,,,,,,,,,,,,,2e-05,,
Robertkochia marina,1227945.0,,,,,,,,,,,,,2e-05,9.523809523809523e-07,
Flavobacteriaceae bacterium,1871037.0,,,,,,,,,,,,,2e-05,,
Tenacibaculum sp. 4G03,2045443.0,,,,,,,,,,,,,2e-05,,
Tenacibaculum sp. M341,2530339.0,,,,,,,,,,,,,2e-05,,
Rickettsia canadensis,788.0,,,,,,,,,,,,,1e-05,,
Prevotella nigrescens,28133.0,,,,,,,,,,,,,1e-05,,
Capnocytophaga granulosa,45242.0,,,,,,,,,,,,,1e-05,,
Polaribacter filamentus,53483.0,,,,,,,,,,,,,1e-05,,
Arenibacter latericius,86104.0,,,,,,,,,,,,,1e-05,,
Acaryochloris marina,155978.0,,,,,,,,,,,,,1e-05,,
Flavobacterium degerlachei,229203.0,,,,,,,,,,,,,1e-05,,
Bizionia myxarmorum,291186.0,,,,,,,,,,,,,1e-05,,
Formosa agariphila,320324.0,,,,,,,,,,,,,1e-05,,
Tamlana crocina,393006.0,,,,,,,,,,,,,1e-05,,
Pedobacter westerhofensis,425512.0,,,,,,,,,,,,,1e-05,,
Chryseobacterium soli,445961.0,,,,,,,,,,,,,1e-05,,
Flavobacterium fluvii,468056.0,,,,,,,,,,,,,1e-05,,
Tenacibaculum dicentrarchi,669041.0,,,,,,,,,,,,,1e-05,,
Flavobacterium haoranii,683124.0,,,,,,,,,,,,,1e-05,,
Polaribacter sp. SA4-10,754397.0,,,,,,,,,,,,,1e-05,,
Tenacibaculum sp. SZ-18,754423.0,,,,,,,,,,,,,1e-05,,
Aequorivita viscosa,797419.0,,,,,,,,,,,,,1e-05,,
Algibacter pectinivorans,870482.0,,,,,,,,,,,,,1e-05,,
Pseudoalteromonas xiamenensis,882626.0,,,,,,,,,,,,,1e-05,,
Ochrovirga pacifica,1042376.0,,,,,,,,,,,,,1e-05,,3.0303030303030305e-07
Flavobacterium aciduliphilum,1101402.0,,,,,,,,,,,,,1e-05,,
Aquimarina sp. Aq78,1191889.0,,,,,,,,,,,,,1e-05,,
Polaribacter sp. Hel1_85,1250005.0,,,,,,,,,,,,,1e-05,,
Parabacteroides merdae CAG:48,1263094.0,,,,,,,,,,,,,1e-05,,
Formosa sp. Hel1_33_131,1336794.0,,,,,,,,,,,,,1e-05,,
Tenacibaculum sp. 47A_GOM-205m,1380384.0,,,,,,,,,,,,,1e-05,,
Tenacibaculum piscium,1458515.0,,,,,,,,,,,,,1e-05,,
Seonamhaeicola aphaedonensis,1461338.0,,,,,,,,,,,,,1e-05,,
Salegentibacter sp. R32,1486285.0,,,,,,,,,,,,,1e-05,,
Neosynechococcus sphagnicola,1501145.0,,,,,,,,,,,,,1e-05,,
Desulfoprunum benzoelyticum,1506996.0,,,,,,,,,,,,,1e-05,,
Algibacter alginicilyticus,1736674.0,,,,,,,,,,,,,1e-05,,
Flavobacteria bacterium RIFCSPLOWO2_12_FULL_35_11,1798016.0,,,,,,,,,,,,,1e-05,,
Chitinophagaceae bacterium,1869212.0,,,,,,,,,,,,,1e-05,4.761904761904762e-07,1.2121212121212122e-06
Polaribacter sp.,1920175.0,,,,,,,,,,,,,1e-05,,
Flavobacteriaceae bacterium TMED116,1986701.0,,,,,,,,,,,,,1e-05,,
Salegentibacter sp. 24,2183986.0,,,,,,,,,,,,,1e-05,,
Tenacibaculum sp. E3R01,2267227.0,,,,,,,,,,,,,1e-05,,
Riemerella sp.,2382126.0,,,,,,,,,,,,,1e-05,,
Bacteroidetes/Chlorobi group bacterium MS-B_bin-24,2382228.0,,,,,,,,,,,,,1e-05,,
Aureibaculum marinum,2487930.0,,,,,,,,,,,,,1e-05,,
Polaribacter sp. IC073,2508540.0,,,,,,,,,,,,,1e-05,,
Muricauda hymeniacidonis,2517819.0,,,,,,,,,,,,,1e-05,,
Seonamhaeicola sp. W255,2528206.0,,,,,,,,,,,,,1e-05,,
Aquimarina algicola,2589995.0,,,,,,,,,,,,,1e-05,,
Formosa sediminum,2594004.0,,,,,,,,,,,,,1e-05,,
Maribacter luteus,2594478.0,,,,,,,,,,,,,1e-05,,
Flagellimonas sp. CMM7,2654676.0,,,,,,,,,,,,,1e-05,,
Winogradskyella endarachnes,2681965.0,,,,,,,,,,,,,1e-05,,
Formosa sp. L2A11,2686363.0,,,,,,,,,,,,,1e-05,,
Winogradskyella wichelsiae,2697007.0,,,,,,,,,,,,,1e-05,,
Gaetbulibacter sp. S0825,2720084.0,,,,,,,,,,,,,1e-05,,
Polaribacter sp. G4M1,2808900.0,,,,,,,,,,,,,1e-05,,
Flavobacterium sp. CECT 9288,2845819.0,,,,,,,,,,,,,1e-05,,
Winogradskyella sp. D23,2877123.0,,,,,,,,,,,,,1e-05,,
Sphingobacteriaceae bacterium,2021370.0,,,,,,,,,,,,,,0.002619047619047619,7.575757575757576e-06
Streptococcus pyogenes,1314.0,,,,,,,,,,,,,,0.00203,3.0303030303030305e-07
Staphylococcus aureus,1280.0,,,,,,,,,,,,,,0.0015328571428571429,2.7272727272727272e-06
Candidatus Frankia datiscae,2716812.0,,,,,,,,,,,,,,0.0014057142857142857,
Solirubrobacter sp. CPCC 204708,2282478.0,,,,,,,,,,,,,,0.001381904761904762,
Paenarthrobacter nicotinovorans,29320.0,,,,,,,,,,,,,,0.0013123809523809525,
Modestobacter lapidis,1608613.0,,,,,,,,,,,,,,0.0011438095238095237,
Marinilabiliaceae bacterium JC017,2234116.0,,,,,,,,,,,,,,0.0009128571428571429,
Blastococcus sp. CPCC 205250,2732513.0,,,,,,,,,,,,,,0.0007052380952380953,
Labilibacter sediminis,2570926.0,,,,,,,,,,,,,,0.0006428571428571428,
Enterococcus faecalis,1351.0,,,,,,,,,,,,,,0.0005995238095238096,
Blastococcus endophyticus,673521.0,,,,,,,,,,,,,,0.0005952380952380953,
Candidatus Frankia nodulisporulans,2060052.0,,,,,,,,,,,,,,0.0005942857142857143,
Candidatus Frankia meridionalis,2714109.0,,,,,,,,,,,,,,0.0005423809523809524,3.0303030303030305e-07
Rickettsiaceae bacterium,2023360.0,,,,,,,,,,,,,,0.0005385714285714286,
Actinomadura cremea,1991.0,,,,,,,,,,,,,,0.0005376190476190476,
Corynebacterium sp. MC-10,2912568.0,,,,,,,,,,,,,,0.00047714285714285713,
Ancylomarina longa,2487017.0,,,,,,,,,,,,,,0.0004595238095238095,
Mesorhizobium sp.,1871066.0,,,,,,,,,,,,,,0.0004457142857142857,
Xylella fastidiosa,2371.0,,,,,,,,,,,,,,0.0004438095238095238,1.2121212121212122e-06
Streptomyces plicatus,1922.0,,,,,,,,,,,,,,0.0004414285714285714,
Acinetobacter indicus,756892.0,,,,,,,,,,,,,,0.0004161904761904762,1.2121212121212122e-06
Flectobacillus sp. BAB-3569,1509483.0,,,,,,,,,,,,,,0.00038857142857142855,
Modestobacter marinus,477641.0,,,,,,,,,,,,,,0.0003519047619047619,
Geminicoccus sp. CPCC 101083,2498453.0,,,,,,,,,,,,,,0.0003119047619047619,
Rhodopirellula sp. JC740,2894199.0,,,,,,,,,,,,,,0.00030333333333333335,
Salinicoccus roseus,45670.0,,,,,,,,,,,,,,0.0003014285714285714,
Photobacterium chitinilyticum,2485123.0,,,,,,,,,,,,,,0.00028333333333333335,
Acetobacter malorum,178901.0,,,,,,,,,,,,,,0.0002757142857142857,
Golovinomyces cichoracearum,62708.0,,,,,,,,,,,,,,0.0002676190476190476,1.5151515151515152e-06
Halomonas heilongjiangensis,1387883.0,,,,,,,,,,,,,,0.0002561904761904762,
Cobetia crustatorum,553385.0,,,,,,,,,,,,,,0.00024857142857142857,
Photobacterium alginatilyticum,1775171.0,,,,,,,,,,,,,,0.00024571428571428574,
Streptomyces narbonensis,67333.0,,,,,,,,,,,,,,0.00022333333333333333,
Streptomyces gancidicus,68204.0,,,,,,,,,,,,,,0.00022047619047619048,
Streptomyces gardneri,66892.0,,,,,,,,,,,,,,0.0002180952380952381,
Chlorella sp. ArM0029B,1415603.0,,,,,,,,,,,,,,0.0002061904761904762,
Streptomyces sp. S10(2018),2497561.0,,,,,,,,,,,,,,0.00020285714285714286,
Corynebacterium sp. MC-02,2912569.0,,,,,,,,,,,,,,0.0002,
Rhizobium yanglingense,61013.0,,,,,,,,,,,,,,0.00019523809523809525,
Chorda filum,64905.0,,,,,,,,,,,,,,0.00017857142857142857,
Streptomyces fumigatiscleroticus,66371.0,,,,,,,,,,,,,,0.00017142857142857143,
Pseudomonas protegens,380021.0,,,,,,,,,,,,,,0.0001661904761904762,
Frankia sp. CIT1,2880974.0,,,,,,,,,,,,,,0.0001661904761904762,
Bradyrhizobium icense,1274631.0,,,,,,,,,,,,,,0.00016476190476190475,
Synechococcus sp. PCC 7002,32049.0,,,,,,,,,,,,,,0.00015238095238095237,
Agromyces flavus,589382.0,,,,,,,,,,,,,,0.00014333333333333334,
Streptomyces purpureus,1951.0,,,,,,,,,,,,,,0.00014238095238095237,
Paraferrimonas sp. SM1919,2662263.0,,,,,,,,,,,,,,0.00012952380952380952,1.2121212121212122e-06
Clostridium sp. MSJ-4,2841506.0,,,,,,,,,,,,,,0.00012523809523809525,
Soehngenia saccharolytica,253256.0,,,,,,,,,,,,,,0.00012428571428571428,9.09090909090909e-07
Weizmannia coagulans,1398.0,,,,,,,,,,,,,,0.00012333333333333334,
Bacillus toyonensis,155322.0,,,,,,,,,,,,,,0.00011666666666666667,
Hymenobacter sp.,1898978.0,,,,,,,,,,,,,,0.00011476190476190477,
Nocardioides antri,2607659.0,,,,,,,,,,,,,,0.00011238095238095239,1.7878787878787877e-05
Steroidobacter agaridevorans,2695856.0,,,,,,,,,,,,,,0.00010761904761904762,
Marinifilum sp. JC120,2302941.0,,,,,,,,,,,,,,0.00010714285714285714,
Streptomyces ruber,83378.0,,,,,,,,,,,,,,9.952380952380952e-05,
Klebsiella quasivariicola,2026240.0,,,,,,,,,,,,,,9.857142857142856e-05,
Corynebacterium sp. MC-25,2912570.0,,,,,,,,,,,,,,9.80952380952381e-05,
Rhizophagus sp. MUCL 43196,1803374.0,,,,,,,,,,,,,,9.476190476190476e-05,
Desulfovibrio sp. JC022,2593642.0,,,,,,,,,,,,,,8.80952380952381e-05,
uncultured Chloroflexi bacterium HF0200_09I09,710736.0,,,,,,,,,,,,,,8.761904761904762e-05,
Muricauda alvinocaridis,2530200.0,,,,,,,,,,,,,,8.523809523809524e-05,
Pseudomonas putida,303.0,,,,,,,,,,,,,,8.333333333333333e-05,2.4242424242424244e-06
Auxenochlorella protothecoides,3075.0,,,,,,,,,,,,,,8.095238095238095e-05,6.363636363636363e-06
Streptomyces caelestis,36816.0,,,,,,,,,,,,,,8.095238095238095e-05,
Scytonema sp. HK-05,1137095.0,,,,,,,,,,,,,,7.952380952380952e-05,
Planktothrix agardhii,1160.0,,,,,,,,,,,,,,7.80952380952381e-05,9.09090909090909e-07
Enterobacter cloacae complex sp. GF14B,2511982.0,,,,,,,,,,,,,,7.80952380952381e-05,
Streptomyces griseoloalbus,67303.0,,,,,,,,,,,,,,7.047619047619048e-05,
Pedinophyceae sp. YPF-701,765719.0,,,,,,,,,,,,,,6.952380952380952e-05,5.151515151515151e-06
Micromonas commoda,296587.0,,,,,,,,,,,,,,6.857142857142857e-05,1e-05
Furfurilactobacillus rossiae,231049.0,,,,,,,,,,,,,,6.80952380952381e-05,
Vibrio aquaticus,2496559.0,,,,,,,,,,,,,,6.571428571428571e-05,
Chlorella desiccata (nom. nud.),1650286.0,,,,,,,,,,,,,,6.523809523809524e-05,5.4545454545454545e-06
Citrobacter portucalensis,1639133.0,,,,,,,,,,,,,,6.476190476190476e-05,
Streptomyces clavifer,68188.0,,,,,,,,,,,,,,6.38095238095238e-05,
Robertmurraya kyonggiensis,1037680.0,,,,,,,,,,,,,,6.285714285714286e-05,
Corallococcus interemptor,2316720.0,,,,,,,,,,,,,,6.238095238095238e-05,
Enterobacter cloacae complex sp. 4DZ3-28B,2511989.0,,,,,,,,,,,,,,6.047619047619048e-05,
Streptococcus mitis,28037.0,,,,,,,,,,,,,,6e-05,
Microbacterium sp. HM58-2,1778770.0,,,,,,,,,,,,,,6e-05,
Sphingobacterium bovisgrunnientis,1874697.0,,,,,,,,,,,,,,5.9047619047619046e-05,
Paenibacillus sp. IHB B 3415,867080.0,,,,,,,,,,,,,,5.714285714285714e-05,
Micromonas pusilla,38833.0,,,,,,,,,,,,,,5.476190476190476e-05,6.363636363636363e-06
Candidatus Burkholderia humilis,1090471.0,,,,,,,,,,,,,,5.142857142857143e-05,
Bathycoccus prasinos,41875.0,,,,,,,,,,,,,,5.095238095238095e-05,3.0303030303030305e-06
Valsa mali,105487.0,,,,,,,,,,,,,,5.095238095238095e-05,
Chlamydomonas eustigma,1157962.0,,,,,,,,,,,,,,4.9523809523809525e-05,2.7272727272727272e-06
Mycoplasmopsis bovis,28903.0,,,,,,,,,,,,,,4.857142857142857e-05,
Actinobacteria bacterium 66_15,1635289.0,,,,,,,,,,,,,,4.6666666666666665e-05,
Coccomyxa sp. Obi,2315456.0,,,,,,,,,,,,,,4.6190476190476194e-05,2.4242424242424244e-06
Lysinibacillus sphaericus,1421.0,,,,,,,,,,,,,,4.428571428571428e-05,
Ancylomarina sp. 16SWW S1-10-2,2499681.0,,,,,,,,,,,,,,4.428571428571428e-05,
[Clostridium] innocuum,1522.0,,,,,,,,,,,,,,4.380952380952381e-05,
Phascolarctobacterium faecium,33025.0,,,,,,,,,,,,,,4.238095238095238e-05,
Scenedesmus sp. NREL 46B-D3,2650976.0,,,,,,,,,,,,,,4.142857142857143e-05,7.272727272727272e-06
Coprobacillus sp. 8_1_38FAA,450746.0,,,,,,,,,,,,,,4.0476190476190474e-05,
Gonium pectorale,33097.0,,,,,,,,,,,,,,3.9523809523809526e-05,9.09090909090909e-07
Corallococcus sp. AB018,2316715.0,,,,,,,,,,,,,,3.904761904761905e-05,
Frankia symbiont of Coriaria ruscifolia,1306542.0,,,,,,,,,,,,,,3.809523809523809e-05,
Coccomyxa subellipsoidea,248742.0,,,,,,,,,,,,,,3.761904761904762e-05,1.818181818181818e-06
Phytophthora palmivora,4796.0,,,,,,,,,,,,,,3.6666666666666666e-05,9.09090909090909e-07
Marinifilum breve,2184082.0,,,,,,,,,,,,,,3.571428571428572e-05,
Nitrosospira sp. NpAV,58133.0,,,,,,,,,,,,,,3.285714285714286e-05,
Pectobacterium brasiliense,180957.0,,,,,,,,,,,,,,3.285714285714286e-05,
Actinoplanes ianthinogenes,122358.0,,,,,,,,,,,,,,3.19047619047619e-05,
Scenedesmus sp. PABB004,2742167.0,,,,,,,,,,,,,,3.19047619047619e-05,2.4242424242424244e-06
Streptomyces sp. S1,718288.0,,,,,,,,,,,,,,3.0476190476190475e-05,
Plesiomonas shigelloides,703.0,,,,,,,,,,,,,,2.9523809523809523e-05,
Chlorella variabilis,554065.0,,,,,,,,,,,,,,2.9523809523809523e-05,2.4242424242424244e-06
Alteraurantiacibacter buctensis,1503981.0,,,,,,,,,,,,,,2.9523809523809523e-05,
Mycobacteroides abscessus,36809.0,,,,,,,,,,,,,,2.904761904761905e-05,9.09090909090909e-07
Ostreococcus sp. 'lucimarinus',242159.0,,,,,,,,,,,,,,2.904761904761905e-05,5.151515151515151e-06
Enterobacter cloacae complex sp. 4DZ3-17B2,2511990.0,,,,,,,,,,,,,,2.904761904761905e-05,6.96969696969697e-06
Candidatus Terrybacteria bacterium RIFCSPLOWO2_01_FULL_48_14,1802368.0,,,,,,,,,,,,,,2.857142857142857e-05,
Microcystis aeruginosa,1126.0,,,,,,,,,,,,,,2.8095238095238096e-05,
Salmonella sp. gx-f9,2582608.0,,,,,,,,,,,,,,2.7142857142857144e-05,
Modestobacter italicus,2732864.0,,,,,,,,,,,,,,2.7142857142857144e-05,
Monoraphidium neglectum,145388.0,,,,,,,,,,,,,,2.6666666666666667e-05,5.151515151515151e-06
Salmonella sp. zj-f50,2582616.0,,,,,,,,,,,,,,2.619047619047619e-05,
uncultured Segetibacter sp.,481133.0,,,,,,,,,,,,,,2.5238095238095237e-05,
Bulboplastis apyrenoidosa,1070855.0,,,,,,,,,,,,,,2.5238095238095237e-05,
