superkingdom,kingdom,phylum,class,order,family,genus,species,tax_id
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Sesamia,Sesamia inferens,492764
Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum sp. AHE14PA,2745565
Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Tenacibaculum sp. AHE15PA,2745566
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. CMF12,2884834
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanosaeta sp. PtaB.Bin005,1811683
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanosaeta sp. PtaB.Bin039,1811685
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,1255
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanosaeta sp. PtaU1.Bin060,1811688
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanotrichales,Methanotrichaceae,Methanothrix,Methanosaeta sp. PtaU1.Bin112,1811689
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Thelaira,Thelaira solivaga,1918187
Eukaryota,Metazoa,Cnidaria,Anthozoa,Corallimorpharia,Ricordeidae,Ricordea,Ricordea florida,165100
Eukaryota,,Euglenozoa,Diplonemea,,Diplonemidae,Diplonema,Diplonema papillatum,91374
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp. CG_4_10_14_0_8_um_filter_42_13,1975534
Eukaryota,Metazoa,Mollusca,Bivalvia,Pectinida,Pectinidae,Mimachlamys,Mimachlamys varia,50417
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus avium,42229
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella sp.,50422
Eukaryota,Metazoa,Mollusca,Bivalvia,Pterioida,Pteriidae,Pinctada,Pinctada fucata,50426
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Koenigia,Koenigia nepalensis,1197307
Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Stylophora,Stylophora pistillata,50429
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,1280
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,1282
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus haemolyticus,1283
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,Noctua pronuba,214277
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus hominis,1290
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus warneri,1292
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Vespidae,Mischocyttarus,Mischocyttarus mexicanus,91405
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabis,Arabis alpina,50452
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus suis,1307
Archaea,Methanobacteriati,Methanobacteriota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanohalophilus,Methanohalophilus sp. WG1-DM,2491675
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Thiopseudomonas,Thiopseudomonas alkaliphila,1697053
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Acromyrmex,Acromyrmex insinuator,230686
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Acromyrmex,Acromyrmex heyeri,230685
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,1309
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,1313
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,42275
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela,Cicindela hybrida,247075
Archaea,Methanobacteriati,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter sp.,66852
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Asteliaceae,Neoastelia,Neoastelia spectabilis,230694
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Phragmatobia,Phragmatobia fuliginosa,214311
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia demarniana,1594294
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Thymelaeaceae,Wikstroemia,Wikstroemia monnula,1008942
Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Panagrolaimidae,Halicephalobus,Halicephalobus sp. NKZ332,2598192
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,1328
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,Nymphaea,Nymphaea thermarum,419125
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia ramella,1594296
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus equinus,1335
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Colias,Colias eurytheme,42296
Eukaryota,,Apicomplexa,Aconoidasida,Haemosporida,Plasmodiidae,Plasmodium,Plasmodium lomamiensis,2041146
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Heleomyzidae,Suillia,Suillia variegata,1230148
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,1351
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,1352
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Xanthoceras,Xanthoceras sorbifolium,99658
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Psylliodes,Psylliodes chrysocephala,2598218
Eukaryota,Fungi,Ascomycota,Leotiomycetes,,,Xylogone,Xylogone sp. PMI_703,2614602
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Austrobaileyales,Schisandraceae,Schisandra,Schisandra chinensis,50507
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,Actinidia eriantha,165200
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Solanum demissum,50514
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella haemolysans,1379
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Junonia,Junonia orithya,460133
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Tachinidae,Thecocarcelia,Thecocarcelia acutangulata,1918310
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Phoenix,Phoenix dactylifera,42345
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus aceti,1820010
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Oryza meyeriana,83307
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Droseraceae,Drosera,Drosera rotundifolia,173423
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,1396
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Heyndrickxia,Heyndrickxia coagulans,1398
Eukaryota,Viridiplantae,Streptophyta,Lycopodiopsida,Lycopodiales,Lycopodiaceae,Diphasiastrum,Diphasiastrum complanatum,34168
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. Of11M-6,2917754
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Tetrastigma,Tetrastigma leucostaphylum,255354
Bacteria,Bacillati,Bacillota,Tissierellia,Tissierellales,Thermohalobacteraceae,Caloranaerobacter,Caloranaerobacter azorensis,116090
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. BSi20495,386429
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia,Priestia megaterium,1404
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus mycoides,1405
Eukaryota,Fungi,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida dubliniensis,42374
Eukaryota,Metazoa,Platyhelminthes,Trematoda,Strigeidida,Schistosomatidae,Trichobilharzia,Trichobilharzia regenti,157069
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oleispira,Oleispira sp.,2024846
Eukaryota,Metazoa,Platyhelminthes,Trematoda,Strigeidida,Schistosomatidae,Trichobilharzia,Trichobilharzia szidati,157070
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ampittia,Ampittia dioscorides,509334
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Depressariidae,Carcina,Carcina quercana,116121
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Stevia,Stevia origanoides,558494
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera sp.,1869214
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Cosmia,Cosmia trapezina,116126
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Eupsilia,Eupsilia transversa,116130
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Tortricidae,Tortricodes,Tortricodes alternella,116138
Bacteria,,,,,,,bacterium,1869227
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Melinaea,Melinaea menophilus,304554
Eukaryota,,Rhodophyta,Bangiophyceae,Galdieriales,Galdieriaceae,Galdieria,Galdieria partita,83374
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Cissus,Cissus quadrangularis,165298
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Cissus,Cissus discolor,165299
Eukaryota,Viridiplantae,Chlorophyta,Trebouxiophyceae,Prasiolales,Prasiolaceae,Prasiola,Prasiola crispa,173492
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria,116150
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Nitidulidae,Aethina,Aethina tumida,116153
Bacteria,Bacillati,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,,Acidimicrobiaceae bacterium,2024894
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Zinnia,Zinnia elegans,34245
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pyralidae,Plodia,Plodia interpunctella,58824
Archaea,Methanobacteriati,Methanobacteriota,,,,,Euryarchaeota archaeon ADurb.Bin190,1852877
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,Lithospermum erythrorhizon,34254
Eukaryota,Metazoa,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Bimastos,Bimastos eiseni,320977
Bacteria,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paraclostridium,Paraclostridium bifermentans,1490
Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium botulinum,1491
Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium butyricum,1492
Bacteria,Bacillati,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,1496
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Leptidea,Leptidea sinapis,189913
Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium pasteurianum,1501
Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium perfringens,1502
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium herbaceum,34274
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium mustelinum,34275
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium darwinii,34276
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium tomentosum,34277
Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium sp.,1506
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Carabidae,Leistus,Leistus spinibarbis,878056
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium trilobum,34281
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium gossypioides,34282
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium armourianum,34283
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium turneri,34284
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium harknessii,34285
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium klotzschianum,34286
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium davidsonii,34287
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium laxum,34288
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium lobatum,34289
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium aridum,34290
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium schwendimanii,34291
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis quinquangularis,239086
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles ziemanni,345580
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita argyrosperma,34294
Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium tyrobutyricum,1519
Bacteria,Bacillati,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,,[Clostridium] innocuum,1522
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Datiscaceae,Datisca,Datisca glomerata,34297
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas arctica,394751
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Lotus,Lotus japonicus,34305
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Allosyncarpia,Allosyncarpia ternata,34307
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Burseraceae,Commiphora,Commiphora foliacea,1173001
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Elateridae,Ctenicera,Ctenicera cuprea,1132042
Bacteria,Pseudomonadati,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zobellia,Zobellia alginiliquefaciens,3032586
Bacteria,Pseudomonadati,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Aliarcobacter,Aliarcobacter cibarius,255507
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Corymbia,Corymbia citriodora,34329
Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium baratii,1561
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Bibionidae,Bibio,Bibio marci,189979
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,83485
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Noronhia,Noronhia introversa,1345055
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Cognaticolwellia,Cognaticolwellia beringensis,1967665
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum spelta,58933
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Anisodus,Anisodus acutangulus,402998
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Lactiplantibacillus plantarum,1590
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Cinnamomum,Cinnamomum micranthum,337465
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo mesomela,222778
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,uncultured Stenotrophomonas sp.,165438
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Latilactobacillus,Latilactobacillus sakei,1599
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,1598
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Cyperaceae,Rhynchospora,Rhynchospora tenuis,198213
Eukaryota,Fungi,Ascomycota,Dipodascomycetes,Dipodascales,Dipodascaceae,Geotrichum,Geotrichum candidum,1173061
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. NEC-BIFX-2020_015,2729544
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Calophyllaceae,Kielmeyera,Kielmeyera appariciana,2508368
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus,Fructilactobacillus sanfranciscensis,1625
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Aricia,Aricia artaxerxes,91738
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Aricia,Aricia agestis,91739
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Orussidae,Orussus,Orussus abietinus,222816
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Trimezia,Trimezia steyermarkii,58979
Eukaryota,,,Bolidophyceae,Parmales,Triparmaceae,Triparma,Triparma retinervis,2557542
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Diprionidae,Diprion,Diprion similis,362088
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria welshimeri,1643
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Sinocarum,Sinocarum cruciatum,165484
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo,Tenthredo notha,362091
Eukaryota,Metazoa,Cnidaria,Anthozoa,Scleractinia,,Blastomussa,Blastomussa wellsi,419443
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,Pieris macdunnoughi,345717
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Carabidae,Ophonus,Ophonus ardosiacus,247415
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus pumila,198266
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celmia,Celmia celmus,1107578
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Rhoicissus,Rhoicissus tridentata,329342
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Carabidae,Nebria,Nebria salina,878211
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Juncaceae,Luzula,Luzula sylvatica,59018
Eukaryota,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas commoda,296587
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,Harpalus rufipes,247442
Bacteria,Bacillati,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve,1685
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Stratiomyidae,Stratiomys,Stratiomys singularior,511597
Eukaryota,Viridiplantae,Streptophyta,Leiosporocerotopsida,Leiosporocerotales,Leiosporocerotaceae,Leiosporoceros,Leiosporoceros dussii,263836
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica domingensis,1853086
Eukaryota,Metazoa,Bryozoa,Gymnolaemata,Cheilostomatida,Cryptosulidae,Cryptosula,Cryptosula pallasiana,558755
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Leucocrinum,Leucocrinum montanum,59050
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Archidendron,Archidendron lucidum,1009333
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis adustella,1869501
Eukaryota,,Apicomplexa,Aconoidasida,Haemosporida,Haemoproteidae,Haemoproteus,Haemoproteus sp. JSC-2012,1156799
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Adenostoma,Adenostoma fasciculatum,140993
Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium limosum,1736
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Ampelopsis,Ampelopsis japonica,714442
Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Steinernematidae,Steinernema,Steinernema carpocapsae,34508
Bacteria,Bacillati,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium taeniosporum,394958
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium grande,1042139
Bacteria,Pseudomonadati,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,Proteiniphilum sp.,1926877
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas sp. A601,1967839
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Apocheima,Apocheima hispidaria,722657
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Biston,Biston stratarius,722658
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Cabera,Cabera pusaria,722659
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,Microplitis manilae,1427173
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,Ennomos fuscantarius,722662
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Colletidae,Colletes,Colletes gigas,935657
Bacteria,Bacillati,Actinomycetota,Actinomycetes,Mycobacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,1773
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Syrphidae,Rhingia,Rhingia rostrata,2721518
Bacteria,Bacillati,Cyanobacteriota,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,Microcystis sp. LE18-22.4A,3016432
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Geometridae,Hylaea,Hylaea fasciaria,722673
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysolina,Chrysolina americana,75506
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Asilidae,Dysmachus,Dysmachus trigonus,468725
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Pterocarpus,Pterocarpus macrocarpus,108278
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Proteales,Proteaceae,Bellendena,Bellendena montana,83702
Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Yponomeuta,Yponomeuta sedellus,263933
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Cyclopogon,Cyclopogon longibracteatus,2320126
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Chrysolina,Chrysolina haemoptera,75519
Eukaryota,Metazoa,Arthropoda,Insecta,Coleoptera,Curculionidae,Orchestes,Orchestes rusci,878341
Eukaryota,Metazoa,Rotifera,Eurotatoria,,,Rotaria,Rotaria sp. Silwood1,2762511
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium praemixtum,165650
Eukaryota,Metazoa,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus vancouverensis,2705177
Eukaryota,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,Coniochaeta hoffmannii,91930
Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Asilidae,Neoitamus,Neoitamus cyanurus,468767
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Bacopa,Bacopa monnieri,263974
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Hamamelidaceae,Fortunearia,Fortunearia sinensis,51002
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Linderniaceae,Lindernia,Lindernia sp. YSL-2014,1500987
Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Hamamelidaceae,Sinowilsonia,Sinowilsonia henryi,51004
Eukaryota,,,Bolidophyceae,Parmales,Triparmaceae,Triparma,Triparma columacea,722753
