,phylum,read count,relative error
695,Candidatus Riflebacteria,1M,0.686978002202548
696,Chytridiomycota,1M,0.1605003188976743
697,Candidatus Moranbacteria,1M,0.35208939510976517
698,Candidatus Korarchaeota,1M,0.6319062870042959
699,Candidatus Latescibacteria,1M,0.05923358880794149
700,candidate division WOR-3,1M,0.24617840534373606
701,Candidatus Amesbacteria,1M,
702,Candidatus Kaiserbacteria,1M,0.38191908614999986
703,Candidatus Micrarchaeota,1M,0.5471012044321932
704,Apicomplexa,1M,0.1188607562790586
705,Cryptomycota,1M,0.16666666666666663
706,Candidatus Desantisbacteria,1M,0.848528137423857
707,Aquificae,1M,0.23132254021751042
708,Candidatus Cloacimonetes,1M,0.09999999999999996
709,Discosea,1M,0.47153811992104594
710,Candidatus Woesebacteria,1M,0.5832156365085337
711,Candidatus Giovannonibacteria,1M,0.7243558228002943
712,Candidatus Schekmanbacteria,1M,0.6117160375207985
713,Candidatus Heimdallarchaeota,1M,0.21600459743049708
714,Heterolobosea,1M,0.2641261041947915
715,Foraminifera,1M,0.24134423842329103
716,Candidatus Sumerlaeota,1M,0.6429381225315658
717,Chrysiogenetes,1M,0.38540102570865575
718,Candidatus Aenigmarchaeota,1M,0.550685425510629
719,Candidatus Lokiarchaeota,1M,0.6930206164842208
720,Candidatus Kapabacteria,1M,0.10647942749999006
721,Candidatus Thorarchaeota,1M,0.37179633427145803
722,Imbricatea,1M,0.7505142270059053
723,Candidatus Daviesbacteria,1M,0.5471012044321932
724,Candidatus Pacebacteria,1M,0.33499675095088216
725,Candidatus Magasanikbacteria,1M,0.45079220333321124
726,Candidatus Eisenbacteria,1M,0.11785113019775792
727,Candidatus Margulisbacteria,1M,0.49983560742610067
728,Candidatus Buchananbacteria,1M,
729,Candidatus Zambryskibacteria,1M,0.6986885432532673
730,Olpidiomycota,1M,0.6666666666666666
731,Endomyxa,1M,0.182558380598837
732,Candidatus Bipolaricaulota,1M,0.4007371679514864
733,Candidatus Levybacteria,1M,0.34641016151377546
734,Candidatus Raymondbacteria,1M,0.3903262361629296
735,Perkinsozoa,1M,0.33086184748585246
736,Parabasalia,1M,0.5336321894427541
737,Candidatus Absconditabacteria,1M,0.34401045807689073
738,candidate division NC10,1M,0.2713030996889391
739,Candidatus Roizmanbacteria,1M,0.34467615654779776
740,Candidatus Handelsmanbacteria,1M,0.52704627669473
741,Candidatus Ryanbacteria,1M,0.5000000000000001
742,Candidatus Terrybacteria,1M,
743,Candidatus Verstraetearchaeota,1M,0.4
744,Candidatus Marsarchaeota,1M,
745,Candidatus Goldbacteria,1M,0.3849001794597505
746,Candidatus Aureabacteria,1M,0.6614378277661477
747,Candidatus Muirbacteria,1M,
748,Candidatus Uhrbacteria,1M,0.5672262001443318
749,Crenarchaeota,1M,0.5908647000371574
750,Caldiserica,1M,0.6546536707079772
751,candidate division WWE3,1M,0.7200822998230956
752,Candidatus Falkowbacteria,1M,0.2716334335501104
753,Candidatus Nomurabacteria,1M,0.5061943174124038
754,Candidatus Yanofskybacteria,1M,0.425523159002817
755,Candidatus Coatesbacteria,1M,0.4714045207910316
756,Candidatus Lloydbacteria,1M,
757,Candidatus Kryptonia,1M,0.7071067811865475
758,Candidatus Gottesmanbacteria,1M,0.21650635094610973
759,Blastocladiomycota,1M,0.17496355305594125
760,Candidatus Hydrothermae,1M,
761,Candidatus Wolfebacteria,1M,0.4714045207910316
762,Candidatus Delongbacteria,1M,0.6972166887783963
763,Candidatus Doudnabacteria,1M,0.4714045207910316
764,Candidatus Glassbacteria,1M,0.9854310631217635
765,Candidatus Harrisonbacteria,1M,0.7071067811865475
766,Fornicata,1M,0.4263283123415311
767,Candidatus Wallbacteria,1M,0.34641016151377546
768,Cercozoa,1M,0.5232211106009699
769,Candidatus Andersenbacteria,1M,0.6666666666666669
770,Candidatus Abyssubacteria,1M,0.3240068961457456
771,Candidatus Mcinerneyibacteriota,1M,0.7071067811865475
772,Candidatus Firestonebacteria,1M,0.6666666666666669
773,Candidatus Staskawiczbacteria,1M,0.5471012044321933
774,Candidatus Altiarchaeota,1M,0.29880715233359845
775,Candidatus Abawacabacteria,1M,0.4714045207910316
776,Candidatus Fischerbacteria,1M,0.34815531191139565
777,Candidatus Kerfeldbacteria,1M,0.24845199749997662
778,Candidatus Komeilibacteria,1M,0.37267799624996495
779,Candidatus Nealsonbacteria,1M,0.3849001794597506
780,candidate division LCP-89,1M,0.8413197549333737
781,Dictyoglomi,1M,
782,Picozoa,1M,0.37267799624996495
783,Candidatus Adlerbacteria,1M,
784,Candidatus Azambacteria,1M,
785,Candidatus Fraserbacteria,1M,
786,Candidatus Liptonbacteria,1M,
787,Candidatus Spechtbacteria,1M,
788,Candidatus Sungbacteria,1M,0.692820323027551
789,Candidatus Vogelbacteria,1M,
790,Candidatus Wildermuthbacteria,1M,
791,Candidatus Odinarchaeota,1M,
792,Coprothermobacterota,1M,
793,Candidatus Taylorbacteria,1M,0.29459295623271947
794,Abditibacteriota,1M,0.4082482904638631
795,candidate division CPR1,1M,0.4714045207910316
796,Candidatus Microgenomates,1M,
797,Candidatus Yonathbacteria,1M,
798,Candidatus Kuenenbacteria,1M,
799,Candidatus Tagabacteria,1M,0.4714045207910316
800,Candidatus Wirthbacteria,1M,
801,candidate division CPR3,1M,
802,Candidatus Curtissbacteria,1M,
803,Candidatus Jorgensenbacteria,1M,0.692820323027551
804,Candidatus Edwardsbacteria,1M,
805,Candidatus Woykebacteria,1M,0.692820323027551
806,Nanoarchaeota,1M,0.4714045207910316
807,Candidatus Diapherotrites,1M,
808,Candidatus Beckwithbacteria,1M,
809,Candidatus Cerribacteria,1M,
810,Candidatus Colwellbacteria,1M,
811,Candidatus Collierbacteria,1M,
812,Candidatus Niyogibacteria,1M,
813,Candidatus Shapirobacteria,1M,
814,Candidatus Eremiobacteraeota,1M,
815,Candidatus Nanohaloarchaeota,1M,
816,Candidatus Chisholmbacteria,1M,
817,Candidatus Gribaldobacteria,1M,
818,Candidatus Parvarchaeota,1M,
819,candidate division KD3-62,1M,
820,Candidatus Blackburnbacteria,1M,
821,Candidatus Geothermarchaeota,1M,
822,Candidatus Nezhaarchaeota,1M,
823,Candidatus Huberarchaea,1M,
824,Proteobacteria,10M,0.0006459722875298265
825,Bacteroidetes,10M,0.00037242359402454915
826,Bacillariophyta,10M,0.0006731219143458681
827,Actinobacteria,10M,0.0015162219013060826
828,Chlorophyta,10M,0.0036729814042313325
829,Chloroflexi,10M,0.006273303384683532
830,Verrucomicrobia,10M,0.0014554112836633955
831,Planctomycetes,10M,0.002754518506874659
832,Cyanobacteria,10M,0.006541871438061203
833,Gemmatimonadetes,10M,0.011432433842391794
834,Firmicutes,10M,0.007558423217819569
835,Spirochaetes,10M,0.013570597787929047
836,Nitrospinae,10M,0.00710209058023725
837,Candidatus Peregrinibacteria,10M,0.09564673469162593
838,Rhodothermaeota,10M,0.004671781796980707
839,Candidatus Dormibacteraeota,10M,0.17766436291597743
840,Viruses,10M,0.006743895129762408
841,Basidiomycota,10M,0.016208150929970546
842,Ciliophora,10M,0.007749106945630907
843,Candidatus Saccharibacteria,10M,0.07925838492021829
844,Rhodophyta,10M,0.019887948745162767
845,Acidobacteria,10M,0.008031859987024438
846,Mucoromycota,10M,0.007925428941427259
847,Chlorobi,10M,0.028397565922920854
848,Oomycota,10M,0.0023738774567040573
849,Euryarchaeota,10M,0.011255837487767
850,Nitrospirae,10M,0.007309026558547001
851,Tubulinea,10M,0.08695652173913043
852,Thaumarchaeota,10M,0.01258261826985601
853,Ascomycota,10M,0.016511661842481384
854,Deferribacteres,10M,0.014259656863277568
855,Candidatus Melainabacteria,10M,0.03449685296196862
856,Balneolaeota,10M,0.015911185085036982
857,Haptophyta,10M,0.010731639932416225
858,Euglenozoa,10M,0.013107123773504852
859,Armatimonadetes,10M,0.014538511237656357
860,Ignavibacteriae,10M,0.01774679627254574
861,Candidatus Tectomicrobia,10M,0.031045911143864312
862,Deinococcus-Thermus,10M,0.029412306644782192
863,Candidatus Marinimicrobia,10M,0.049455542833267106
864,Fibrobacteres,10M,0.06736915861623417
865,Kiritimatiellaeota,10M,0.022635474104424853
866,Candidatus Hydrogenedentes,10M,0.015464282489718388
867,Thermotogae,10M,0.0202789732508986
868,Candidatus Gracilibacteria,10M,0.016701296829450596
869,Synergistetes,10M,0.021756494070636217
870,Candidatus Bathyarchaeota,10M,0.023059846967730252
871,candidate division Zixibacteria,10M,0.028690075932887752
872,Candidatus Berkelbacteria,10M,0.1680608838394381
873,Candidatus Rokubacteria,10M,0.04115429209758923
874,Candidatus Campbellbacteria,10M,0.08219178082191778
875,Candidatus Lindowbacteria,10M,0.054392829322042056
876,Candidatus Portnoybacteria,10M,0.1928904337245963
877,Calditrichaeota,10M,0.011864875733116719
878,Candidatus Cryosericota,10M,0.19354838709677424
879,Evosea,10M,0.024295233748437107
880,Preaxostyla,10M,0.04033639765450465
881,Chlamydiae,10M,0.0014116943124503412
882,Lentisphaerae,10M,0.01513901530602468
883,Fusobacteria,10M,0.016990624876065674
884,Candidatus Aminicenantes,10M,0.013756979221512398
885,Microsporidia,10M,0.05364276241393318
886,Elusimicrobia,10M,0.035323782524226854
887,Thermodesulfobacteria,10M,0.01886011446230947
888,Candidatus Parcubacteria,10M,0.07124033335467042
889,Candidatus Aerophobetes,10M,0.08660082756255855
890,Candidatus Fermentibacteria,10M,0.033838164238804
891,Candidatus Dadabacteria,10M,0.02016256068522475
892,Zoopagomycota,10M,0.032086454656331496
893,Candidatus Blackallbacteria,10M,0.06349057416929747
894,Tenericutes,10M,0.04865887073664218
895,Candidatus Thermoplasmatota,10M,0.03382131910908365
896,Candidatus Omnitrophica,10M,0.020223938055898977
897,Atribacterota,10M,0.061060057622311675
898,Candidatus Poribacteria,10M,0.03194888178913738
899,candidate division CPR2,10M,0.0974661882465207
900,Candidatus Woesearchaeota,10M,0.060702613257056906
901,Candidatus Riflebacteria,10M,0.08594797634138049
902,Chytridiomycota,10M,0.015751800308630225
903,Candidatus Moranbacteria,10M,0.07803011551700921
904,Candidatus Korarchaeota,10M,0.2487301080823684
905,Candidatus Latescibacteria,10M,0.03141188754792892
906,candidate division WOR-3,10M,0.0751021061132543
907,Candidatus Amesbacteria,10M,0.25531389540169014
908,Candidatus Kaiserbacteria,10M,0.03839577112741722
909,Candidatus Micrarchaeota,10M,0.1659765325773231
910,Apicomplexa,10M,0.03211419353574984
911,Cryptomycota,10M,0.05799865717886649
912,Candidatus Desantisbacteria,10M,0.07856742013183857
913,Aquificae,10M,0.06332988681981377
914,Candidatus Cloacimonetes,10M,0.05499004594420113
915,Discosea,10M,0.08344370821994697
916,Candidatus Woesebacteria,10M,0.04583743626635725
917,Candidatus Giovannonibacteria,10M,0.17830207726620906
918,Candidatus Schekmanbacteria,10M,0.13904122875127692
919,Candidatus Heimdallarchaeota,10M,0.05391282482555667
920,Heterolobosea,10M,0.05586968931131087
921,Foraminifera,10M,0.14079481794297072
922,Candidatus Sumerlaeota,10M,0.11781537677932415
923,Chrysiogenetes,10M,0.09292260846568742
924,Candidatus Aenigmarchaeota,10M,0.12001371663718259
925,Candidatus Lokiarchaeota,10M,0.061435811823064373
926,Candidatus Kapabacteria,10M,0.06686293228020658
927,Candidatus Thorarchaeota,10M,0.06977651394858549
928,Imbricatea,10M,0.04647143204516825
929,Candidatus Daviesbacteria,10M,0.17069363297190907
930,Candidatus Pacebacteria,10M,0.03647020169819557
931,Candidatus Magasanikbacteria,10M,0.0652645687440162
932,Candidatus Eisenbacteria,10M,0.07892542481354271
933,Candidatus Margulisbacteria,10M,0.056288913780563034
934,Candidatus Buchananbacteria,10M,0.15430334996209186
935,Candidatus Zambryskibacteria,10M,0.26646935501059654
936,Olpidiomycota,10M,0.12679453935510587
937,Endomyxa,10M,0.05888948726028869
938,Candidatus Bipolaricaulota,10M,0.06246950475544239
939,Candidatus Levybacteria,10M,0.11614382043993407
940,Candidatus Raymondbacteria,10M,0.15494317309347103
941,Perkinsozoa,10M,0.06460582824697984
942,Parabasalia,10M,0.12765957446808515
943,Candidatus Absconditabacteria,10M,0.06698104584973644
944,candidate division NC10,10M,0.068857904303869
945,Candidatus Roizmanbacteria,10M,0.17048758244362516
946,Candidatus Handelsmanbacteria,10M,0.055511093319096864
947,Candidatus Ryanbacteria,10M,0.2160246899469287
948,Candidatus Terrybacteria,10M,0.2347262634065101
949,Candidatus Verstraetearchaeota,10M,0.2857142857142857
950,Candidatus Marsarchaeota,10M,0.4330127018922193
951,Candidatus Goldbacteria,10M,0.06060606060606061
952,Candidatus Aureabacteria,10M,0.08247860988423225
953,Candidatus Muirbacteria,10M,0.1986145305747393
954,Candidatus Uhrbacteria,10M,0.06635071090047392
955,Crenarchaeota,10M,0.03728313301368272
956,Caldiserica,10M,0.13943216575407852
957,candidate division WWE3,10M,0.16777409856157222
958,Candidatus Falkowbacteria,10M,0.08251185175159295
959,Candidatus Nomurabacteria,10M,0.1268647884805434
960,Candidatus Yanofskybacteria,10M,0.09357945904985936
961,Candidatus Coatesbacteria,10M,0.11820025346861054
962,Candidatus Lloydbacteria,10M,0.09836065573770494
963,Candidatus Kryptonia,10M,0.15309310892394856
964,Candidatus Gottesmanbacteria,10M,0.14380637019563336
965,Blastocladiomycota,10M,0.06077706637436212
966,Candidatus Hydrothermae,10M,0.1360827634879543
967,Candidatus Wolfebacteria,10M,0.12307777986918388
968,Candidatus Delongbacteria,10M,0.11174521339154045
969,Candidatus Doudnabacteria,10M,0.05393955536655425
970,Candidatus Glassbacteria,10M,0.17475728155339806
971,Candidatus Harrisonbacteria,10M,0.15309310892394865
972,Fornicata,10M,0.046689875888712436
973,Candidatus Wallbacteria,10M,0.17830207726620903
974,Cercozoa,10M,0.08151927288088678
975,Candidatus Andersenbacteria,10M,0.19518001458970669
976,Candidatus Abyssubacteria,10M,0.09004832267395503
977,Candidatus Mcinerneyibacteriota,10M,0.12420546382981329
978,Candidatus Firestonebacteria,10M,0.13953488372093026
979,Candidatus Staskawiczbacteria,10M,0.2347262634065101
980,Candidatus Altiarchaeota,10M,0.15590239111558093
981,Candidatus Abawacabacteria,10M,0.11764705882352942
982,Candidatus Fischerbacteria,10M,0.08164965809277265
983,Candidatus Kerfeldbacteria,10M,0.07989242788646297
984,Candidatus Komeilibacteria,10M,0.17516155155486493
985,Candidatus Nealsonbacteria,10M,0.19709829178740848
986,candidate division LCP-89,10M,0.17721518987341775
987,Dictyoglomi,10M,0.2449489742783178
988,Picozoa,10M,0.20412414523193148
989,Candidatus Adlerbacteria,10M,0.2664693550105965
990,Candidatus Azambacteria,10M,0.3149183286488867
991,Candidatus Fraserbacteria,10M,0.31578947368421056
992,Candidatus Liptonbacteria,10M,
993,Candidatus Spechtbacteria,10M,0.38490017945975047
994,Candidatus Sungbacteria,10M,0.06060606060606061
995,Candidatus Vogelbacteria,10M,0.20156360163291337
996,Candidatus Wildermuthbacteria,10M,0.2608202654786505
997,Candidatus Odinarchaeota,10M,0.2721655269759086
998,Coprothermobacterota,10M,0.16650906221849357
999,Candidatus Taylorbacteria,10M,0.03299144395369286
1000,Abditibacteriota,10M,0.10154468290078698
1001,candidate division CPR1,10M,0.2945929562327194
1002,Candidatus Microgenomates,10M,0.3529411764705882
1003,Candidatus Yonathbacteria,10M,0.06060606060606061
1004,Candidatus Kuenenbacteria,10M,0.1531883372410141
1005,Candidatus Tagabacteria,10M,0.35355339059327373
1006,Candidatus Wirthbacteria,10M,0.2732520204255893
1007,candidate division CPR3,10M,0.42552315900281695
1008,Candidatus Curtissbacteria,10M,0.31491832864888675
1009,Candidatus Jorgensenbacteria,10M,0.12353898164597911
1010,Candidatus Edwardsbacteria,10M,0.2309401076758503
1011,Candidatus Woykebacteria,10M,0.14433756729740643
1012,Nanoarchaeota,10M,0.19354838709677424
1013,Candidatus Diapherotrites,10M,0.16650906221849357
1014,Candidatus Beckwithbacteria,10M,0.2347262634065101
1015,Candidatus Cerribacteria,10M,
1016,Candidatus Colwellbacteria,10M,0.27325202042558927
1017,Candidatus Collierbacteria,10M,0.4575657233497424
1018,Candidatus Niyogibacteria,10M,0.6454972243679028
1019,Candidatus Shapirobacteria,10M,0.4118729394751475
1020,Candidatus Eremiobacteraeota,10M,0.2721655269759086
1021,Candidatus Nanohaloarchaeota,10M,0.29607193863806863
1022,Candidatus Chisholmbacteria,10M,0.4
1023,Candidatus Gribaldobacteria,10M,0.5471012044321932
1024,Candidatus Parvarchaeota,10M,0.4
1025,candidate division KD3-62,10M,
1026,Candidatus Blackburnbacteria,10M,
1027,Candidatus Geothermarchaeota,10M,
1028,Candidatus Nezhaarchaeota,10M,
1029,Candidatus Huberarchaea,10M,
