Class,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Cryptophyceae,,,,,,0.0008,,,,,0.00011,,0.0001,0.00011,0.00012,0.000117,0.000106,9.8e-05,0.000123,0.000132,0.000113,0.0001146,0.0001081,0.0001051,0.0001138
Cubozoa,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,,2e-07
Cyanobacteria,,,,,,,,,0.0002,,5e-05,4e-05,5e-05,0.00012,0.00011,0.000116,0.00015,0.000116,0.000133,0.000144,0.0001793,0.00018,0.0001761,0.0001855,0.00017
Cyanobacteriia,0.032,0.031,0.021,0.025,0.029,0.029,0.0317,0.0314,0.0312,0.0272,0.0287,0.02903,0.02814,0.02808,0.0288,0.028252,0.028027,0.028305,0.028232,0.027909,0.0281564,0.0283013,0.0282614,0.0282225,0.0282374
Cyanophyceae,,,,,,,,,,,0.00027,7e-05,0.00017,0.00016,0.00019,0.000256,0.000234,0.000229,0.000258,0.000237,0.0002439,0.0002336,0.0002419,0.00024,0.0002431
Cycadopsida,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,
Cystobasidiomycetes,,,,,,,,,,,,,,,,,,,,,2.2e-06,3.7e-06,3e-07,1.9e-06,
Cytophagia,,,,,,0.0026,0.0007,0.0011,0.0008,0.0007,0.00231,0.00221,0.00246,0.00216,0.00223,0.0025,0.002686,0.002526,0.002433,0.002446,0.0024725,0.0024483,0.0024353,0.0024628,0.0024721
D-F10,,,,,,,,,,,,,,,,,,,,,7e-07,,,2e-07,
Dacrymycetes,,,,,,,,,,,,,,,,2.9e-05,1.6e-05,2.7e-05,1.4e-05,,2.59e-05,3.59e-05,3.14e-05,2.34e-05,3.8e-05
Dadabacteriia,,,,,,,,,,,,,,,,,1.1e-05,,,8e-06,5.8e-06,4.5e-06,4.8e-06,4.2e-06,6e-06
Deep Sea Euryarchaeotic Group(DSEG),,,,,,,,,,,2e-05,,,,,2.1e-05,7.9e-05,1.4e-05,2.5e-05,3e-05,6.86e-05,3.97e-05,7.58e-05,3.6e-05,6.13e-05
Deferribacteres,,,,,,,,,,,,,,,,6e-06,,3e-06,5e-06,4e-06,1.3e-06,1.8e-06,2.3e-06,2.2e-06,2.3e-06
Deferribacteres Unknown Order,,,,,,,,,,,,,,,,,2e-06,4e-06,,,1.6e-06,1.3e-06,1e-06,1.2e-06,1.3e-06
Deferrisomatia,,,,,,,,,,,,,,,,,1.2e-05,,,,2.4e-06,3.6e-06,4e-06,3.7e-06,2.8e-06
Defferrisomatia,,,,,,,,,,,,,,,,5e-06,,6e-06,,,3.3e-06,3.5e-06,2.3e-06,2.6e-06,2.8e-06
Dehalococcoidia,,,,,,,,,,,,,,,,2e-06,2e-06,,4e-06,2e-06,9.6e-06,1e-05,9.4e-06,1.03e-05,9.9e-06
Deinococci,,,,,,,,,,,3e-05,4e-05,2e-05,,3e-05,3.8e-05,3.4e-05,3.8e-05,5.1e-05,3.4e-05,4.71e-05,4.64e-05,4.86e-05,4.82e-05,4.35e-05
Deltaproteobacteria,,,,,,0.0014,0.0009,0.0015,0.002,0.0019,0.00197,0.0021,0.00204,0.00184,0.00223,0.002105,0.002077,0.002024,0.002028,0.00188,0.0020838,0.0020899,0.0020663,0.0020855,0.0020532
Demospongiae,,,,,,,,,,,,,,,2e-05,2e-05,1.1e-05,2.1e-05,1.8e-05,2.1e-05,1.83e-05,2e-05,1.94e-05,2.05e-05,2.53e-05
Desulfobacteria,,,,,,,,,0.0006,,0.00054,0.00043,0.00046,0.00053,0.00045,0.000468,0.000442,0.000416,0.000447,0.000448,0.000438,0.000433,0.0004439,0.0004391,0.0004439
Desulfobulbia,,,,,,0.0009,,,0.0004,0.0015,0.00074,0.00063,0.00066,0.0007,0.00062,0.000529,0.000519,0.000512,0.000498,0.000541,0.0004601,0.0004596,0.0004596,0.0004531,0.0004678
Desulfovibrionia,,,,,,,,,,,,,,,,4e-06,2e-06,9e-06,,,8.9e-06,9.4e-06,8.5e-06,7.2e-06,7.6e-06
Desulfuromonadia,,,,,,0.0007,0.001,0.0014,0.0003,0.0009,0.00085,0.00093,0.00085,0.00081,0.00089,0.000808,0.000803,0.000782,0.000815,0.000792,0.0007825,0.0007766,0.0007749,0.0007666,0.0007694
Diapherotrites Unknown Order,,,,,,,,,,,,,,,,,,3e-06,,,1.8e-06,1.6e-06,1.2e-06,,1.8e-06
Dictyochophyceae,,,,,,,,,,,,,,,,,,5e-06,,5e-06,1.7e-05,1.17e-05,1.94e-05,5.5e-06,1.76e-05
Dictyoglomia,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,,3e-07,6e-07
Dimargaritomycetes,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Dinophyceae,0.003,0.002,,0.003,,0.0031,0.0036,0.0042,0.0031,0.004,0.00374,0.00406,0.00471,0.00394,0.00369,0.004076,0.003825,0.004073,0.003913,0.004213,0.0040816,0.0040999,0.0041471,0.0041338,0.0041079
Diplonemea,,,,,,0.0005,0.0004,0.0004,0.0004,,0.00017,0.00025,0.00022,0.00028,0.00026,0.000267,0.00026,0.000253,0.000246,0.000263,0.0002526,0.0002605,0.0002548,0.000253,0.0002559
Diplopoda,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,4e-07,5e-07,5e-07
Dipodascomycetes,,,,,,,,,,,,,,,,,,,7e-06,3e-06,2.6e-06,2.4e-06,2.4e-06,2.1e-06,6.8e-06
Discoba,,,,,,,,0.0002,,,5e-05,7e-05,0.0001,6e-05,9e-05,0.000146,0.000159,0.00012,0.000177,0.00014,0.00016,0.0001581,0.0001489,0.000157,0.0001612
Discosea,,,,,,0.0005,0.0003,,0.0005,,0.00034,0.00038,0.00037,0.00041,0.00034,0.000336,0.000328,0.000287,0.000351,0.000332,0.0003617,0.0003463,0.0003671,0.0003526,0.0003459
Dothideomycetes,,,,,,,,,,,0.00011,0.00013,0.00014,0.00012,6e-05,7.9e-05,9.1e-05,0.000104,0.000114,9e-05,9.95e-05,0.0001,0.000104,9.89e-05,9.94e-05
Echinoidea,,,,,,,,,,,,,,,,,,,3e-06,2e-06,1.4e-06,1.4e-06,1.2e-06,1.3e-06,1.4e-06
Elardia,,,,,,0.0005,,0.0003,0.0003,0.0009,0.00047,0.00048,0.00037,0.00054,0.00052,0.000566,0.000524,0.00053,0.000536,0.00056,0.0005521,0.0005451,0.0005633,0.0005547,0.0005505
Elev-1554,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Elusimicrobia,,,,,,,,,,,,,,,,,,8e-06,,,4.7e-06,4.8e-06,4.8e-06,5.9e-06,6.1e-06
Embryophyta,,,,,,,,,,,,,,,,1.2e-05,,7e-06,,,1.14e-05,1.39e-05,1.25e-05,9.6e-06,1.48e-05
Endogonales,,,,,,,,,,,,,,,2e-05,,4e-06,,,4.5e-05,1.57e-05,2.27e-05,1.78e-05,2.27e-05,5.5e-06
Endogonomycetes,,,,,,,,,,,0.00049,0.00037,0.00045,0.00045,0.00045,0.000405,0.000451,0.000389,0.000407,0.000427,0.0004047,0.0004018,0.0004056,0.0003955,0.0004146
Enopla,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,8e-07,2e-07,5e-07
Enoplea,,,,,,,,,,,,,,,,,,2e-06,,,8e-07,3.3e-06,2e-06,1.1e-06,2.8e-06
Enteropneusta,,,,,,,,,,,,,,,,,,,,,8e-07,2e-07,4e-07,1.2e-06,4e-07
Entomophthoromycetes,,,,,,,,,,,,,,,,1.1e-05,,,7e-06,4e-06,2e-07,3.8e-06,4e-06,5e-06,7.3e-06
Entomophthoromycotina,,,,,,,,,,,0.00035,0.00035,0.0003,0.0003,0.00031,0.000349,0.000291,0.00032,0.000322,0.000305,0.0003174,0.0003168,0.0003162,0.0003192,0.0003142
Entorrhizomycetes,,,,,,,,,,,,,,,,4.8e-05,5.6e-05,5.9e-05,5.2e-05,5e-05,6e-05,6.06e-05,5.8e-05,5.51e-05,6.31e-05
Eoacanthocephala,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07
Epsilonproteobacteria,,,,,,,,0.0003,,,0.00031,0.00041,0.00026,0.00022,0.00029,0.000323,0.000344,0.000364,0.000381,0.000382,0.000374,0.0003715,0.0003781,0.0003616,0.0003807
Erysipelotrichia,,,,,,0.0002,,,,,0.00016,6e-05,2e-05,6e-05,6e-05,0.000249,0.000132,0.000215,0.000173,0.000179,0.0003835,0.0002491,0.0003838,0.000234,0.0002365
Euglenida,,,,,,0.0002,0.0002,0.0005,,0.0005,0.00047,0.00055,0.00046,0.00044,0.00033,0.000499,0.000466,0.000442,0.000457,0.000469,0.0004799,0.0004745,0.0004787,0.0004736,0.0004661
Eumycetozoa,,,,,,,,,,,,,,,,9e-06,4e-06,1e-05,7e-06,7e-06,1.23e-05,1.19e-05,1.3e-05,1.16e-05,1.34e-05
Eurotatoria,,,,,,,,,,,,,,,,4e-06,1.6e-05,,1.4e-05,8e-06,2.4e-05,2.51e-05,2.4e-05,2.29e-05,2.33e-05
Eurotiomycetes,,,,,,0.0008,0.0007,0.0007,0.0007,0.0008,0.00082,0.00095,0.00069,0.00093,0.0007,0.000849,0.000818,0.000824,0.000884,0.000841,0.000854,0.0008518,0.000857,0.0008546,0.0008527
Euryarchaeota archaeon SCGC AAA286-E23,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Eustigmatophyceae,,,,,,,,,,,,,,,,,,2e-06,,,1.7e-06,1.5e-06,2.3e-06,1.5e-06,1.5e-06
Eutardigrada,,,,,,,,,,,,,,,,,,,,,5.2e-06,5.6e-06,7.4e-06,6.3e-06,5.8e-06
Exobasidiomycetes,,,,,,,,,,,,,,,,2e-06,,,,,8e-07,3e-06,3.8e-06,3.7e-06,3e-06
FGL7S,,,,,,,,,,,,,,,,,,,,,1.08e-05,,,,
FHMa11 terrestrial group,,,,,,,,,,,,,,,,,7e-06,2e-06,5e-06,,1.36e-05,1.85e-05,1.23e-05,1.94e-05,1.48e-05
Fe-A-9,,,,,,,,,,,,,,,,,,3e-06,,,,4e-07,4e-07,1e-06,2e-07
Fibrobacteria,,,,,,,,,,,,,2e-05,2e-05,,9e-06,5e-06,9e-06,1.2e-05,8e-06,2.32e-05,2.26e-05,2.18e-05,1.8e-05,2.15e-05
Fimbriimonadia,,,,,,,,,,,,,,,,3e-06,,,,8e-06,4.5e-06,3.2e-06,3.3e-06,2.9e-06,4.2e-06
Flabellinia,,,,,,,,,,,,,,,,,,,,,,5e-07,,3e-07,
Flavobacteriia,0.053,0.047,0.039,0.03,0.045,0.0415,0.0423,0.0416,0.041,0.0457,0.04225,0.04198,0.0423,0.04083,0.04315,0.039774,0.039698,0.040106,0.03965,0.039463,0.0393576,0.0393522,0.0393638,0.0393223,0.0393453
Florideophyceae,,,,,,,,,,,,,,2e-05,,,,2e-06,2e-06,4e-06,2.07e-05,1.69e-05,1.62e-05,1.82e-05,2.01e-05
Fragilariophyceae,,,,,,,0.0003,,,0.0003,0.00054,0.00048,0.00033,0.00054,0.00062,0.000507,0.000452,0.000544,0.000472,0.000423,0.0005177,0.0005284,0.0005174,0.0005177,0.0005135
Fusobacteriia,,,,,,,,,,,0.00011,6e-05,6e-05,0.00013,3e-05,0.000139,0.000132,0.000151,0.000177,0.000165,0.0001897,0.0001985,0.0002043,0.0001984,0.0001953
Gammaproteobacteria,0.098,0.11,0.091,0.101,0.099,0.1176,0.1131,0.1143,0.1157,0.1153,0.10879,0.10958,0.1072,0.1098,0.1085,0.107643,0.107046,0.107345,0.107581,0.107394,0.1074578,0.1076112,0.1077747,0.1075466,0.1076664
Gastropoda,,,,,,,,,,,,,,,,2.3e-05,3.5e-05,3.4e-05,1.7e-05,2.8e-05,4.49e-05,4.41e-05,3.85e-05,4.06e-05,4.11e-05
Gastrotricha,,,,,0.022,0.0061,0.0042,0.0061,0.0055,0.0044,0.00448,0.0045,0.00433,0.00447,0.00435,0.004229,0.004204,0.004172,0.004284,0.004204,0.0042466,0.0042422,0.0042728,0.0042337,0.0042674
Gemmatimonadetes,,,,,,,,,,,5e-05,7e-05,8e-05,4e-05,8e-05,0.000173,0.000164,0.000139,0.000147,0.00015,0.0001731,0.0001706,0.0001665,0.0001825,0.0001719
Gemmatimonadia,,,,,,,,,,,,,,,,,,,1.2e-05,7e-06,4.2e-06,3e-06,3.7e-06,4.3e-06,3.3e-06
Geoglossomycetes,,,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,
Gitt-GS-136,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,3e-07
Glaucocystophyceae,,,,,,,,,,,,,,,,,,,,3e-06,1.8e-06,2.1e-06,1.6e-06,2e-06,1.6e-06
Glomeromycetes,,,,,,,,,,,,,,,,,,,,,4e-06,6.8e-06,5.9e-06,4.5e-06,5.1e-06
Gnathostomulida,,,,,,,,,,,,,,,,,2e-06,,,,2e-07,3e-07,,,4e-07
Gnetopsida,,,,,,0.0076,0.0094,0.0075,0.0071,0.0073,0.00669,0.00671,0.00686,0.00683,0.00624,0.006218,0.00637,0.006135,0.006029,0.00617,0.0062211,0.0061576,0.0062001,0.0061894,0.006174
Gracilibacteria,,,,,,,,0.0003,0.0003,,0.00027,0.00028,0.00026,0.0002,0.0004,0.000331,0.000346,0.000339,0.000315,0.00034,0.0003331,0.0003378,0.0003293,0.0003314,0.0003382
Gracilipodida,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Group C3,,,,,,,,,,,,3e-05,,,2e-05,3.2e-05,2.9e-05,1.8e-05,2.1e-05,1.3e-05,3.27e-05,3.19e-05,3.28e-05,2.91e-05,3.37e-05
Gymnolaemata,,,,,,,,,,,,,,,,6e-06,3e-06,4e-06,5e-06,,6.9e-06,7.4e-06,6.6e-06,6.8e-06,7.6e-06
H15-6,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,5e-07,4e-07,6e-07
H26-1,,,,,,,,,,,,,,,,,3e-06,,,,1.6e-06,1.5e-06,1.1e-06,1.2e-06,2e-06
Halobacteria,,,,,,,,,,,0.00011,0.00011,0.00015,0.00011,0.00019,0.000189,0.000238,0.000207,0.000195,0.0002,0.000269,0.0002763,0.0002707,0.0002704,0.0002613
Harpellales,,,,,,,,,,,,,,,,,,,,,1.1e-06,1e-06,1.6e-06,,
Harpellomycetes,,,,,,,,,,,,,,,,,5.6e-05,6.6e-05,,7.4e-05,2.98e-05,3.19e-05,3.62e-05,2.95e-05,3e-05
Heterophryidae,,,,,,,,,,,,,,,,,,,,,3e-07,,4e-07,,
Heterotrichea,,,,,,,,,,,,,,,,9e-06,1.2e-05,,,,8.3e-06,8.4e-06,8e-07,8.8e-06,1.07e-05
Hexanauplia,,,,,,,,,,,0.00014,9e-05,4e-05,0.00015,0.00013,0.000197,0.000108,0.000171,0.000175,0.000125,0.0001877,0.0002185,0.000209,0.000214,0.0002082
Holophagae,,,,,,,,,,,,,,2e-05,,9.1e-05,7e-06,1.3e-05,1e-05,3.5e-05,7.4e-05,9.36e-05,6.96e-05,9.4e-05,9.15e-05
Holothuroidea,,,,,,,,,,,,,,,,,,,,,,1.3e-06,1e-06,2e-07,2e-07
Homoscleromorpha,,,,,,,,,,,,,,,,,,3e-06,,,,4e-07,3e-07,3e-07,6e-07
Hydrogenedentia,,,,,,,,,,,3e-05,,2e-05,4e-05,3e-05,3.5e-05,3.4e-05,3.1e-05,3.9e-05,3e-05,3.07e-05,3.53e-05,3.3e-05,3.42e-05,3.55e-05
Hydrogenophilia,,,,,,,,,,,,,,,,,,2e-06,,3e-06,6e-07,5e-07,8e-07,5e-07,7e-07
Hydrozoa,,,,,,0.0002,,,,,8e-05,0.00012,0.00015,0.00015,0.0001,0.00012,0.000152,0.000101,0.000131,0.000108,0.00013,0.0001278,0.0001357,0.0001397,0.0001257
Hyphochytriomycetes,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,,
Ichthyophonae,,,,,,,,,,,,,,,,6e-06,9e-06,8e-06,1e-05,1.1e-05,1.11e-05,1.14e-05,1.09e-05,1e-05,1.08e-05
Ichthyosporea,,,,,,,,,,,,,,,,3e-06,4e-06,,,,4.5e-06,4e-06,3.5e-06,3.6e-06,2.9e-06
Ichthyostraca,,,,,,,,,,,,,,,,,,,,6e-06,2.8e-06,3.1e-06,2.1e-06,3.8e-06,3e-06
Ignavibacteria,,,,,,,,,,,,,,,,6e-06,5e-06,5e-06,5e-06,,1.8e-05,1.45e-05,1.94e-05,1.59e-05,1.71e-05
Ika33,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Imbricatea,,,,,,,,,,,2e-05,,,,,2.6e-05,6e-06,4e-06,1.8e-05,9e-06,2.46e-05,2.1e-05,2.33e-05,2.46e-05,2.26e-05
Insecta,,,0.002,,,0.0046,0.0052,0.0066,0.0037,0.0041,0.00414,0.00408,0.00377,0.00406,0.0038,0.004096,0.004158,0.004279,0.00398,0.004222,0.0042881,0.0043334,0.0043484,0.004282,0.0043878
Intramacronucleata,,,,,,0.0003,,,0.0006,,0.00028,0.00028,0.00034,0.00043,0.00024,0.000351,0.00035,0.000346,0.000369,0.000362,0.0003614,0.0003745,0.0003802,0.0003713,0.000364
JG30-KF-CM66,,,,,,,,,,,,,,,,,,,,,2.9e-06,3.1e-06,2.6e-06,2.9e-06,3e-06
Jungermanniopsida,,,,,,,,,,,,,,,,,,,,,,,,6e-07,4e-07
KD4-96,,,,,,,,,,,,6e-05,8e-05,,6e-05,4.6e-05,4.9e-05,4e-05,4.1e-05,3.6e-05,3.47e-05,3.03e-05,3.29e-05,3.37e-05,3.45e-05
KIST-JJY010,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,,5e-07,4e-07
Kapabacteria,,,,,,,,,,,,,,,,,,,,,5.6e-06,4.6e-06,5.6e-06,3.8e-06,3.8e-06
Karyorelictea,,,,,,,,,0.0007,,0.0002,0.00027,0.00027,0.00019,0.00029,0.000252,0.000288,0.000243,0.000255,0.000259,0.0002587,0.0002559,0.0002514,0.0002563,0.0002605
Kathablepharidae,,,,,,,,,,,,,,,,,,,,,5e-07,8e-07,8e-07,,3e-07
Kazan-3A-21,,,,,,,,,,,,,,,,,4e-06,,5e-06,,1.2e-06,2.7e-06,3.6e-06,3.4e-06,3.3e-06
Kickxellales,,,,,,,,,,,0.00046,0.0004,0.00051,0.00061,0.00072,0.000532,0.000534,0.000506,0.000552,0.000538,0.0005279,0.0005224,0.0005159,0.000519,0.0005236
Kickxellomycetes,,,,,,,,,,,,,,,,4.4e-05,3.6e-05,2.2e-05,2.8e-05,3.2e-05,3.27e-05,3.7e-05,5.73e-05,3.52e-05,4.95e-05
Kinetoplastea,,,,,,0.0006,0.0005,0.0004,0.0005,0.0002,0.00024,0.0002,0.00021,0.00025,0.00023,0.00024,0.000237,0.000234,0.000204,0.000256,0.0002338,0.0002335,0.0002312,0.0002287,0.0002378
Kiritimatiellae,,,,,,,,,,,,,,,,1e-05,1.1e-05,,,2e-06,1.7e-05,1.32e-05,1.32e-05,1.56e-05,1.5e-05
Kiritimatiellia,,,,,,,,,,,,,2e-05,,,2.2e-05,1.6e-05,2.2e-05,2.5e-05,2e-05,1.77e-05,1.83e-05,1.79e-05,1.69e-05,1.93e-05
Klebsormidiophyceae,,,,,,0.0018,,0.0012,0.0012,0.0011,0.00151,0.00162,0.00122,0.00133,0.00123,0.001386,0.001382,0.001395,0.001432,0.001363,0.0013941,0.0013842,0.001392,0.0013826,0.0013708
Korarchaeota Unknown Order,,,,,,,,,,,,,,,,,,,,,2.2e-06,1.9e-06,2.8e-06,3.2e-06,2e-06
Kryptonia,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,8e-07,5e-07,4e-07
Ktedonobacteria,,,,,,,,,,,2e-05,4e-05,,,4e-05,1.8e-05,2.5e-05,1.6e-05,1.5e-05,2.3e-05,2.25e-05,2.08e-05,2.04e-05,2.11e-05,2.1e-05
LCP-89,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,8e-07,1e-06,6e-07
LD1-PA32,,,,,,,,,,,,,,,,5e-06,8e-06,1.3e-05,,,2.5e-06,2.5e-06,2e-06,2e-06,2.5e-06
LD1-PB3,,,,,,,,,,,,,,,,,,5e-06,,4e-06,8.5e-06,8.2e-06,9.5e-06,6.6e-06,7.2e-06
LK-44f,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
LKM11,,,,,,,,,,,0.0002,0.00018,0.00013,4e-05,0.0001,0.00013,0.000153,0.000129,0.000167,0.000149,0.0001511,0.0001607,0.0001557,0.0001611,0.00016
LKM74,0.004,0.008,,0.005,0.005,0.0044,0.0033,0.0039,0.0047,0.0053,0.00366,0.0034,0.00408,0.00369,0.00371,0.003756,0.003773,0.003738,0.003811,0.003797,0.0037701,0.0037419,0.0037445,0.0037251,0.0037482
Latescibacteria,,,,,,,,,,,,,,,,,,6e-06,,2e-06,4.5e-06,3.3e-06,3.2e-06,4e-06,4.2e-06
Latescibacterota,,,,,,,,,,,,,,,,1.5e-05,1.9e-05,3.4e-05,1.2e-05,1.6e-05,2.1e-05,2.08e-05,1.79e-05,2.02e-05,2.17e-05
Lecanoromycetes,,,,,,,,,,,3e-05,,3e-05,,,8e-06,1.7e-05,1.7e-05,1.2e-05,1.7e-05,2.16e-05,2.4e-05,2.26e-05,2.23e-05,2.38e-05
Lentisphaeria,,,,,,,,,0.0002,,7e-05,9e-05,9e-05,0.00011,0.00011,8.3e-05,9e-05,9.2e-05,9.1e-05,6.5e-05,0.0001017,0.0001035,0.0001104,0.0001028,0.0001093
Leotiomycetes,,,,,,,,,,,0.00016,,0.00014,0.00021,3e-05,8.8e-05,0.000117,0.000109,9.5e-05,9.7e-05,9.28e-05,0.0001021,0.0001013,0.0001073,9.6e-05
Lepidosauria,,,,,,,,,,,,,,,,1.8e-05,3.8e-05,5e-05,4e-06,1.8e-05,3.35e-05,3.1e-05,2.63e-05,3.06e-05,3.81e-05
Leptocardii,,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,3e-07,3e-07
Leptospirae,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,,,8e-07
Lichinomycetes,,,,,,,,,,,,,,,,,,,,,2e-06,,,2.1e-06,
Limnochordia,,,,,,,,,,,,,,,,1e-05,,,5e-06,2e-06,2.3e-06,2.3e-06,2.2e-06,2.3e-06,2.1e-06
Lineage IIb,,,,,,,,,,,,,,,,,,,,,7e-07,8e-07,3e-07,4e-07,6e-07
Litostomatea,,,,0.014,,0.0051,0.0045,0.0027,0.0047,0.0028,0.00449,0.00423,0.00381,0.00397,0.00434,0.004168,0.004021,0.004138,0.004118,0.004224,0.0040996,0.0041202,0.0041113,0.0041048,0.0040946
Longimicrobia,,,,,,,,,,,,,,,,5e-06,,3e-06,,2e-06,1.05e-05,7e-06,9.4e-06,7.4e-06,7.9e-06
Longimicrobiia,,,,,,,,,,,,,,,,,,,,,2e-07,9e-07,9e-07,5e-07,1e-06
Lycopodiopsida,,,,,,,,,,,,,,,,,,,,,1.8e-06,,2e-07,1.9e-06,3e-07
MACA-EFT26,,,,,,,,,,,,,,,,,,,,,9e-07,7e-07,8e-07,8e-07,8e-07
MAST-12C,,,,,,,,,,,,,,,,,,,,2e-06,1.6e-06,2.1e-06,2e-06,2.2e-06,2.5e-06
MB-A2-108,,,,,,,,,,,,,,,,,,,,,1.9e-06,1.2e-06,2.2e-06,2.5e-06,2.4e-06
MBNT15,,,,,,,,,,,,,,,,,,,,,2.8e-06,,2e-06,2.1e-06,1.7e-06
MD2898-B26,,,,,,,,,,,,,,,,,,4e-06,,,1.5e-06,,1e-06,1.6e-06,1.6e-06
ML635J-21,,,,,,,,,,,,,,,,,,,,3e-06,3.2e-06,3.1e-06,2.2e-06,2.7e-06,3.1e-06
MSBL8,,,,,,,,,,,,,,,,,,2e-06,,2e-06,1e-06,1.2e-06,1.2e-06,1.3e-06,1e-06
MVP-15,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,,,
Magnoliopsida,0.22,0.226,0.204,0.251,0.221,0.1637,0.1699,0.1736,0.1694,0.1755,0.16571,0.16613,0.16541,0.16876,0.16504,0.164357,0.165661,0.165069,0.164445,0.164804,0.1644792,0.1645627,0.164374,0.1644871,0.1645801
Malacostraca,,,,,,,,,,,,4e-05,,7e-05,0.00012,0.000216,0.000161,0.000192,0.000212,0.00027,0.0001847,0.0002206,0.000179,0.0001853,0.0002432
Malawimonas,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,,4e-07,
Mamiellophyceae,,,,,,,,,,,,,,,,,2e-06,2e-06,2e-06,,3.8e-06,2.5e-06,3e-06,2.7e-06,3.3e-06
Mammalia,,,,,,,,,,,2e-05,,,,,1.8e-05,2e-05,3.9e-05,3e-05,2.5e-05,5.22e-05,5.5e-05,5.75e-05,5.71e-05,5.65e-05
Marchantiopsida,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,4e-07,,2e-07
Margulisbacteria,,,,,,,,,,,,,,,,,,,,,2.1e-06,2.1e-06,1.3e-06,1.5e-06,2e-06
Marine Benthic Group A,,,,,,,0.0005,0.0008,0.0007,0.0005,0.00039,0.00039,0.00032,0.00031,0.00038,0.000428,0.000407,0.000378,0.000469,0.000381,0.0004111,0.0004099,0.0004095,0.0004023,0.000405
Marine Group I,,,,,,,,,,,0.00021,0.0002,0.0002,0.00027,0.00027,0.000294,0.000331,0.000267,0.000347,0.000322,0.0003902,0.0003903,0.0003743,0.0003869,0.000391
Marinimicrobia (SAR406 clade),,,,,,,,,,,2e-05,,,,2e-05,,5e-06,4e-06,4e-06,4e-06,3.5e-06,3.4e-06,3.6e-06,3.4e-06,4.1e-06
Marinimicrobia bacterium JGI,,,,,,,,,,,,,,,,,,2e-06,,,6e-07,7e-07,5e-07,,3e-07
Marosporida,,,,,,,,,,,,,,,,,,,,,1.3e-06,1.4e-06,1.4e-06,1.2e-06,1.1e-06
Maxillopoda,,,,,,,,,,,,,,,,,,,,,5.1e-06,,1.8e-06,,
Mediophyceae,,,,,,0.0003,,,,,0.00064,0.00072,0.00079,0.00056,0.00058,0.000606,0.00068,0.0007,0.000663,0.000653,0.0006695,0.0006505,0.0006668,0.0006628,0.0006586
Melainabacteria,,,,,,,,,,,,,,,0.00012,7.7e-05,7.1e-05,,,7.2e-05,5.43e-05,6.44e-05,4.1e-06,6.39e-05,2.3e-06
Mesostigmatophyceae,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,6e-07,2e-07,6e-07
Mesozoa,,,,,,,,,,,,,,,,,,,,,5e-07,9e-07,6e-07,8e-07,8e-07
Metamonada,,,,,,,,,,,,,,,,5e-06,5e-06,,6e-06,3e-06,1.2e-05,1.22e-05,9.9e-06,1.11e-05,1.28e-05
Methanobacteria,0.002,,,,,0.0004,0.0005,0.0003,0.0008,0.0005,0.0005,0.0004,0.00049,0.00047,0.00046,0.000543,0.000549,0.000511,0.000497,0.000603,0.0006539,0.0006816,0.0006548,0.0006305,0.0006427
Methanococci,,,,,,,,,,,,,,,,,,,,,1.5e-06,1e-06,1.5e-06,1.3e-06,2.2e-06
